Table     4.01
 
*** WEEKDAY LINKED TRANSIT TRIPS (All Transit/All car HH) ***
District to District MODEL Summary for Scenario  3: Y2019 BUILD                             
All Purposes All Transit All Access All car HH
Idist     CBD      Kakaa    MAKIK    WAIKI    KAIMU    KALIH    IWILE    Airpo    SALTL    DIS10    Ewa      KAPOL    MAKAK    WAIPA    Waiaw    Milil    WAHIA    E HON    KANEO    Kailu    DIS21    NORTH    Waian    MANOA    UHMAN    ALAMO    Other    Total
======= ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ========
CBD         203      511      112      961      553      675     1067      171      257      357       46       33        4      246        0       21       42       66       69      120       39       14       37       87      392     1369        0     7450
Kakaa       764       36       98      621      380      185      554       82      227      146       22        7        2       73        4       31        4       42       37       55        8        3       29       63      300      317        0     4090
MAKIK      1367      333       52      399      656      324      798      151      199      130        7       41        0       97        2       16        1      109       15       43       23        2        9      166      267      326        0     5533
WAIKI      4076      776      110     1467     1022      479     1296      905      244      266       53       28        3      185        2       14        2      565       53      233       47       68       26      281      559     2399        0    15157
KAIMU      2328      642      135      850     1099      278      554       99      148       43        5       14        0       82        1        2        2      454       11       65       13        3        8       89      390     1338        0     8652
KALIH      3730     1711      263     2312      627     1038     2185      296      497      432       45       18        0      425       15       23       11      105       90       78        3        7       27      456      569     2371        0    17333
IWILE      2615     1793      150     1703      980      598     1229      386      582      582       95       54        0      506       26       27       57      176       55      101       20       36       56      162      406     2500        0    14894
Airpo       219      100        7      638       10       19      218       50       81       98       27       14        3       92        5        7       16        5       23        4        0        0        5        7       41      267        0     1958
SALTL      1475      481       84      393      224      210      695       57      454      299       11       11        2      234        5        9        6       19       29        1        0        0       15       36      185      755        0     5689
DIS10      1325      346       63      387      150      171      574      132      170      890      107      101       13      784       18       42       65       16       13       34       13        0      107       60      223      815        0     6620
Ewa        1172      330       47      745      113      112      502      240      261      740      736      438        8     1119       13       10        9       12       17       10        2        7       43       52      127      496        0     7360
KAPOL       514      149       18      145       32       34       98       70       41      315      112      399        2      235        0        8        8        9        0        6        1        0      119       38      110      195        0     2658
MAKAK       116       37        1       17       23       10       21       26       32       88       48      464        6       89        0        0        0        0        0        7        0        0       32        9       10       47        0     1085
WAIPA      1973      375       96     1109      228      499     1581      576      356     1978      559      282        0     3781      154       27       63       14       11       46        0        1      149       72      351     1127        0    15405
Waiaw       268       33        3       62        8        7      136       12       42      138       25       35        0      100        4       25       10        1        0        1        0        0       64       10       28      302        0     1314
Milil       744      112       12       96       41       44      218      113       24       82        8       18        0      122        8      318      138       15        0       14       21       33       10        5       88      148        0     2432
WAHIA       364       95       17       82       17       14      256      103       43      263       17       37       13      135       22      228      493        4       13        7        8       90       21       18       29      263        0     2652
E HON       740      109       51      474      552       45      107       43       17       11        0        6        0        0        0        1        1      344        0       27        9        2        0       40      196      282        0     3059
KANEO       609      184        4      100       31       54      165       25       30        3        0        7        2       37        0        1        0       13      478      246      175        6        3       30       74      273        0     2549
Kailu       762      157       58      224      125       47      213       56       40       21        2        4        0        1        0        0        0       73      371      650       34        6        0       44      146      470        0     3504
DIS21        86       33        1       19        9       14       22        7        6        0        0        6        0        4        0       17       10        0      472       13      589      168        1        0       11      158        0     1649
NORTH        80       10        2       67        0        1       21       17       25        9        0        1        0        4        3      112      155        2        7        0      166      259        0        1        5       49        0      995
Waian       715      338       22      192       59       91      224      284      193      792       92      969       39      902       21       16        1       29       10       33        2        0     1586       18       27      583        0     7238
MANOA      1595      382      117      857      517      251      656       77      206       92        2       35        1      116        3       11       15       85       40       89       22       43       19      200      576     1287        0     7293
UHMAN       535      220        7      387      216       84      314       49       36       72        0        0        0       76        0        0        0       11        9       47        0        4        0      180       16      510        0     2775
ALAMO      1152      230       51     1503      606      372      704      210      174      235       44       22        0      196        0        3       18       98       65      120       22       24       24      191      259       93        0     6419
Other         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Total     29526     9525     1584    15813     8276     5657    14405     4237     4385     8082     2060     3045       98     9643      305      970     1126     2265     1888     2048     1218      777     2388     2316     5385    18741        0   155765

