Table     5.03
 
*** WEEKDAY LINKED TRANSIT TRIPS ON PROJECT (All Fixed Guideway/All car HH)***
District to District MODEL Summary for Scenario  3: Y2019 BUILD                             
All Purposes All Fixed Guideway All Access All car HH
Idist     CBD      Kakaa    MAKIK    WAIKI    KAIMU    KALIH    IWILE    Airpo    SALTL    DIS10    Ewa      KAPOL    MAKAK    WAIPA    Waiaw    Milil    WAHIA    E HON    KANEO    Kailu    DIS21    NORTH    Waian    MANOA    UHMAN    ALAMO    Other    Total
======= ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ========
CBD           0        0        0        0        0        0        0        0        0       34       11        9        2      100        0        0        0        0        0        0        0        0        0        0        0        0        0      155
Kakaa         0        0        0        0        0        0        0        0        0       24        0        0        0        9        0        0        0        0        0        0        0        0        0        0        0        0        0       33
MAKIK         0        0        0        0        0        0        0        0        0       12        0        0        0       55        0        0        0        0        0        0        0        0        0        0        0        0        0       67
WAIKI         0        0        0        0        0        0        0        0        0        0        0        5        0       16        0        0        0        0        0        0        0        0        0        0        0        0        0       21
KAIMU         0        0        0        0        0        0        0        0        0        7        1        0        0       30        0        0        0        0        0        0        0        0        0        0        0        0        0       38
KALIH         0        0        0        0        0        0        0        0        0       18       24        6        0      175        0        0        0        0        0        0        0        0        2        0        0        0        0      225
IWILE         0        0        0        0        0        0        0        0        0       12       38       18        0      262        0        0        0        0        0        0        0        0        8        0        0        0        0      338
Airpo         4        0        0        0        0        0        0        0        0        2       22       12        2       79        1        0        0        0        0        0        0        0        3        0        0        0        0      125
SALTL         0        0        0        0        0        0        0        2        0       31        1        4        2      150        0        0        0        0        0        0        0        0       10        0        0        0        0      200
DIS10        42       36        6       31        5        5       48        5       23      284       87       69        8      665        5        0        1        1        2        4        0        0       99        0       10       68        0     1503
Ewa          28       23        2       20        3       25       73       92       91      418       59        4        2      272        3        0        7        3        0        0        0        0        3        0        0       11        0     1137
KAPOL        56       19        2       27        9       19       11       54       22      282        3        0        0      198        0        7        8        0        0        0        0        0        0        0        5        4        0      724
MAKAK        13        2        1        4        4        4        1       21       21       74        0        0        0       60        0        0        0        0        0        4        0        0        0        4        3       22        0      239
WAIPA       335      110       22       53       38      172      522      373      192     1660      274      110        0     1640       17        7       11        0        8       14        0        1      121       27       61      276        0     6045
Waiaw        11        4        0        0        0        0       14        0        1       11        9       33        0       26        0        0        0        0        0        0        0        0       57        1        1       37        0      207
Milil        12        0        0        0        6        0        0        0        0        0        6        9        0       10        0        0        0        0        0        0        0        0        9        0        0        1        0       52
WAHIA        11        0        0        2        0        0        0        0        5       33        6       25       12       12        0        0        0        0        0        0        0        0       18        0        0        1        0      126
E HON         0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1
KANEO         0        0        0        0        0        0        0        0        0        0        0        5        1        8        0        0        0        0        0        0        0        0        0        0        0        0        0       15
Kailu         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
DIS21         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
NORTH         0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        1
Waian         0        0        0        0        0        2        4      234      100      721       30        0        0      654       14       15        0        0        0        0        0        0        0        0        0        0        0     1774
MANOA         0        0        0        0        0        0        0        0        0        9        0        6        0       56        0        0        0        0        0        0        0        0        0        0        0        0        0       71
UHMAN         0        0        0        0        0        0        0        0        0        0        0        0        0       36        0        0        0        0        0        0        0        0        0        0        0        0        0       36
ALAMO         0        0        0        0        0        0        0        0        0       15        0        8        0      125        0        0        0        0        0        0        0        0        0        0        0        0        0      148
Other         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Total       512      195       33      138       64      227      673      782      453     3647      572      323       29     4637       40       29       28        4       10       22        0        1      330       32       81      420        0    13281

