"Route ID","Route Name","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Table    10.03",,,,,,,,,,
"***** PEAK TRIPS, MILES AND HOURS BY ROUTE ************",,,,,,,,,,
"Comparison of Weekday Operating Statistics by Scenario",,,,,,,,,,
"PEAK=any trip serving one or more stops between 5:00 am",,"and 9:","5 am",,,,,,,
,,"Y2019","XISTING",,"Y2019","O-BUILD",,"Y2019","UILD",
,,"======","============","============","======","============","============","======","============","============"
"Route_ID","Route Name","#Trips","Miles","Hours","#Trips","Miles","Hours","#Trips","Miles","Hours"
"1","1-Kaimuki-Kalihi","56","551.63","55.57","56","551.63","55.57","55","559.87","56.60"
"10","10-Kalihi-Alewa Heights","15","76.71","7.92","15","76.71","7.92","15","76.71","7.92"
"102","1L-School Street-Hawaii Kai","12","213.81","16.27","12","213.81","16.27","12","213.88","16.27"
"103","23-Hawaii Kai-Sea Life Park","9","136.92","12.30","9","136.92","12.30","0","0.00","0.00"
"107","234-Kahala Mall-Waialae Nui","2","9.64","0.78","2","9.64","0.78","0","0.00","0.00"
"108","235-Kahala Mall-Waialae Iki","1","4.95","0.33","1","4.95","0.33","0","0.00","0.00"
"109","E-Country Express! E","23","512.76","34.17","23","512.76","34.17","0","0.00","0.00"
"11","11-Makalapa-Halawa-Aiea Heig","9","126.18","8.37","9","126.18","8.37","9","126.18","8.37"
"112","414-Palahia-Makakilo-Kapolei","9","33.08","2.50","9","33.08","2.50","0","0.00","0.00"
"113","501-Mililani Mauka","12","52.81","3.35","12","52.81","3.35","0","0.00","0.00"
"114","503-Mililani-Laulani Valley","10","44.51","3.33","10","44.51","3.33","0","0.00","0.00"
"115","504-Mililani South","10","40.36","3.02","10","40.36","3.02","0","0.00","0.00"
"117","94-Villages of Kapolei-Kaupe","2","41.90","2.43","2","41.90","2.43","0","0.00","0.00"
"118","PH1-Waianae Coast-Pearl Harb","1","29.02","1.43","1","29.02","1.43","0","0.00","0.00"
"119","PH2-Mililani Town-Pearl Harb","1","19.13","1.20","1","19.13","1.20","0","0.00","0.00"
"120","PH3-Wahiawa Heights-Pearl Ha","1","19.25","1.10","1","19.25","1.10","0","0.00","0.00"
"121","PH4-Kailua-Kahaluu-Pearl Har","1","29.10","1.55","1","29.10","1.55","0","0.00","0.00"
"123","PH6-Hawaii Kai-Pearl Harbor","1","28.32","1.30","1","28.32","1.30","0","0.00","0.00"
"125","9S-Palolo Valley","16","36.33","3.20","16","36.33","3.20","0","0.00","0.00"
"126","9-Kaimuki-Pearl Harbor","30","402.25","39.77","30","402.25","39.77","0","0.00","0.00"
"127","13-Liliha-Waikiki-University","37","345.05","41.69","37","345.05","41.69","0","0.00","0.00"
"128","24-Kapahulu-Aina Haina","8","42.87","3.08","8","42.87","3.08","0","0.00","0.00"
"129","52-Honolulu-Mililani-Wahiawa","23","587.78","31.02","23","587.78","31.02","0","0.00","0.00"
"13","14-St. Louis-Kahala-Maunalan","23","80.43","7.24","23","80.43","7.24","38","345.05","41.69"
"131","51-Honolulu-Wahiawa","37","565.97","39.04","37","565.97","39.04","0","0.00","0.00"
"132","2L-Waikiki-School-Middle Lim","11","85.45","9.88","11","85.45","9.88","128","2446.78","162.22"
"134","416-Kapolei Circulator","9","50.74","3.92","9","50.74","3.92","0","0.00","0.00"
"135","99-Wahiawa-Mililani-Waipahu-","2","32.93","1.90","2","32.93","1.90","0","0.00","0.00"
"136","PH7-Ewa Beach-Pearl Harbor E","1","16.34","1.10","1","16.34","1.10","1","16.22","1.10"
"137","87-Windward Express-Kailua","3","58.50","4.45","3","58.50","4.45","0","0.00","0.00"
"139","60-Honolulu-Kaneohe-Haleiwa","25","1036.34","53.28","25","1036.34","53.28","0","0.00","0.00"
"14","15-Makiki-Pacific Heights","14","61.81","5.20","14","61.81","5.20","23","80.43","7.24"
"140","69-Kaneohe-Waimanalo-Sea Lif","6","79.64","4.75","6","79.64","4.75","0","0.00","0.00"
"141","86-Windward Express-Haiku","6","48.55","3.48","6","48.55","3.48","0","0.00","0.00"
"142","61-Kalihi-Kaneohe-Aikahi","22","284.50","21.24","22","284.50","21.24","0","0.00","0.00"
"143","66-Downtown-Kailua-Aikahi","21","258.67","17.33","21","258.67","17.33","0","0.00","0.00"
"144","67-Honolulu-Kailua-Waimanalo","22","464.80","31.43","22","464.80","31.43","171","623.97","48.58"
"145","651-Kaneohe Circulator","30","79.63","7.42","30","79.63","7.42","0","0.00","0.00"
"146","671-Kailua-Lanikai","9","25.22","2.03","9","25.22","2.03","0","0.00","0.00"
"147","672-Kailua-Maunawili","6","22.60","1.83","6","22.60","1.83","0","0.00","0.00"
"148","673-Kailua-Enchanted Lake","14","52.30","4.03","14","52.30","4.03","0","0.00","0.00"
"149","674-Kailua-Aikahi","5","11.91","0.87","5","11.91","0.87","0","0.00","0.00"
"15","16-Moanalua Valley","6","25.45","1.43","6","25.45","1.43","14","61.81","5.20"
"151","RAIL-Rail","0","0.00","0.00","0","0.00","0.00","61","701.71","31.88"
"156","531-Manana/532 Momilani","0","0.00","0.00","0","0.00","0.00","12","41.18","3.20"
"158","55-55","0","0.00","0.00","0","0.00","0.00","74","262.73","19.89"
"16","17-Makiki-Ala Moana","13","21.16","2.62","13","21.16","2.62","6","25.45","1.43"
"17","18-University-Ala Moana","5","20.11","2.47","5","20.11","2.47","13","21.16","2.62"
"18","19-Waikiki-Airport-Hickam","20","270.87","25.47","20","270.87","25.47","5","20.11","2.47"
"19","20-Waikiki-Pearlridge","13","206.65","19.75","13","206.65","19.75","20","270.87","25.47"
"2","2-Waikiki-School-Middle","51","452.47","55.13","51","452.47","55.13","50","452.47","55.13"
"20","20-Waikiki-Pearlridge","0","0.00","0.00","0","0.00","0.00","13","206.65","19.75"
"21","22-Beach Bus","6","55.79","3.13","6","55.79","3.13","22","219.76","16.55"
"22","A-City Express! A","39","680.70","56.50","39","680.70","56.50","0","0.00","0.00"
"24","31-Tripler-Mapunapuna","19","73.52","7.15","19","73.52","7.15","19","73.59","7.15"
"25","32-Kalihi-Pearlridge","14","148.19","12.15","14","148.19","12.15","14","148.26","11.68"
"26","40-Honolulu-Makaha","27","853.39","55.94","27","853.39","55.94","27","852.52","54.59"
"27","41-Kapolei-Ewa Beach","19","162.62","12.57","19","162.62","12.57","17","111.72","7.18"
"28","42-Ewa Beach-Waikiki","24","551.85","47.00","24","551.85","47.00","24","551.85","44.90"
"29","43-Waipahu-Honolulu-Ala Moan","8","134.92","10.30","8","134.92","10.30","8","134.92","10.30"
"3","3-Kaimuki-Salt Lake","50","549.96","53.89","50","549.96","53.89","50","550.13","53.89"
"30","44-Waipahu-Ewa Beach","11","152.22","10.27","11","152.22","10.27","124","1558.71","98.65"
"32","53-Honolulu-Pacific Palisade","23","266.61","18.55","23","266.61","18.55","24","266.61","18.55"
"33","54-Honolulu-Pearl City","28","281.95","20.00","28","281.95","20.00","128","2136.85","137.40"
"39","65-Honolulu-Kaneohe-Ahuimanu","16","210.93","13.88","16","210.93","13.88","64","991.74","65.60"
"4","4-Nuuanu-Punahou","37","277.22","30.44","37","277.22","30.44","38","277.22","30.44"
"40","C-Country Express! C","26","770.22","40.84","26","770.22","40.84","0","0.00","0.00"
"42","71-Pearlridge-Newtown","8","39.84","2.35","8","39.84","2.35","0","0.00","0.00"
"43","72-Schofield-Wahiawa-Whitmor","7","43.57","4.17","7","43.57","4.17","7","43.57","3.80"
"44","73-Leeward Community College","14","48.31","3.82","14","48.31","3.82","0","0.00","0.00"
"45","74-Aiea-Halawa Heights","6","26.17","1.98","6","26.17","1.98","0","0.00","0.00"
"46","76-Waialua-Haleiwa","10","40.17","2.47","10","40.17","2.47","10","40.17","2.47"
"48","80-Hawaii Kai Park & Ride Ex","6","110.07","8.10","6","110.07","8.10","6","110.07","8.10"
"49","81-Waipahu Express","12","193.46","12.63","12","193.46","12.63","12","193.46","12.63"
"5","5-Ala Moana-Manoa","13","49.91","5.23","13","49.91","5.23","13","49.91","5.23"
"50","82-Hawaii Kai Park & Ride Ex","4","59.01","4.27","4","59.01","4.27","14","119.31","8.22"
"51","83-Wahiawa Town Express","7","176.99","8.07","7","176.99","8.07","7","176.99","8.07"
"52","84-Mililani Express-North","4","88.52","4.55","4","88.52","4.55","4","88.52","4.55"
"53","85-Windward Express-Kaneohe","3","52.16","3.17","3","52.16","3.17","12","159.22","11.10"
"55","88-Kahaluu-Ahuimanu Express","2","28.63","1.90","2","28.63","1.90","2","28.63","1.90"
"56","89-Waimanalo-Kailua Express","2","32.98","1.93","2","32.98","1.93","2","32.93","1.93"
"57","90-Pearl City Express","2","31.34","2.18","2","31.34","2.18","2","31.33","2.18"
"58","91-Ewa Beach Express","9","170.18","10.65","9","170.18","10.65","9","169.27","10.65"
"59","92-Makakilo City Express","3","63.53","3.15","3","63.53","3.15","3","63.53","3.15"
"6","6-Pauoa-Woodlawn","28","191.69","22.25","28","191.69","22.25","28","190.37","22.10"
"60","93-Waianae Coast Express-CBD","11","406.35","20.03","11","406.35","20.03","13","448.26","22.47"
"62","96-Waipio Gentry Express","2","29.62","1.63","2","29.62","1.63","2","29.62","1.63"
"63","97-Village Park Express","4","65.81","3.78","4","65.81","3.78","4","65.81","3.78"
"64","98-Wahiawa-Mililani Park & R","3","61.21","3.03","3","61.21","3.03","5","94.15","4.93"
"65","101-Ewa Gentry Express","5","88.68","5.95","5","88.68","5.95","5","88.68","5.95"
"66","102-Villages of Kapolei Expr","3","57.88","3.00","3","57.88","3.00","3","57.88","3.00"
"67","103-Paiwa-Waikele Express","2","27.71","1.72","2","27.71","1.72","5","42.30","2.83"
"69","80A-Hawaii Kai Park & Ride E","3","59.16","4.35","3","59.16","4.35","0","0.00","0.00"
"7","7-Kalihi Valley","28","131.34","13.77","28","131.34","13.77","28","131.67","13.77"
"71","84A-Mililani Express-South","4","85.38","4.57","4","85.38","4.57","0","0.00","0.00"
"74","88A-North Shore Express","3","105.24","4.47","3","105.24","4.47","0","0.00","0.00"
"76","98A-Wahiawa-Mililani Transit","2","46.12","2.33","2","46.12","2.33","0","0.00","0.00"
"77","W1-Waipahu via Farrington Ex","6","137.69","8.93","6","137.69","8.93","0","0.00","0.00"
"78","W2-Waipahu via Paiwa Express","4","68.49","3.92","4","68.49","3.92","0","0.00","0.00"
"79","W3-Kalihi via School Street","2","15.20","1.45","2","15.20","1.45","0","0.00","0.00"
"8","8-Waikiki-Ala Moana","15","45.07","6.45","15","45.07","6.45","15","47.58","6.45"
"80","80B-Upper Aina Haina Express","1","10.90","1.05","1","10.90","1.05","0","0.00","0.00"
"81","401-Waianae Valley","8","32.13","2.05","8","32.13","2.05","8","32.13","2.05"
"82","402-Lualualei Homestead","9","27.75","1.47","9","27.75","1.47","9","27.75","1.47"
"83","403-Nanakuli-Maili-Waianae","9","66.56","3.55","9","66.56","3.55","9","66.56","3.55"
"84","411-Makakilo Heights","18","65.86","5.40","18","65.86","5.40","0","0.00","0.00"
"86","413-Campbell Industrial Park","15","59.33","3.78","15","59.33","3.78","0","0.00","0.00"
"87","415-Kapolei Transit Center-K","18","44.32","3.37","18","44.32","3.37","0","0.00","0.00"
"88","432-East-West Waipahu","32","75.68","7.48","32","75.68","7.48","0","0.00","0.00"
"89","433-Waipahu-Waikele Shopping","18","95.22","7.50","18","95.22","7.50","0","0.00","0.00"
"9","9-Kaimuki-Pearl Harbor","0","0.00","0.00","0","0.00","0.00","31","406.43","40.17"
"90","434-Waipahu-Village Park","12","38.17","3.27","12","38.17","3.27","0","0.00","0.00"
"Total",,"1387","16260.94","1226.75","1387","16260.94","1226.75","1547","17463.24","1292.05"
