"X1","X2","X3","X4","X5","X6","X7","X8","X9"
"Table    11.04",,,,,,,,
"SUMMARY OF TRIPS BY SUBMODE, ACCESS MODE,","UTO OWN","RSHIP, A","D SCENA","IO",,,,
"Purpose All Purposes",,,,,,,,
"STOPS Model Application Model Application","AFTER S","ation Bo","rding C","libratio",,,,
"","Y2019 E","ISTING ","Y2019 N","-BUILD ","Y2019 B","ILD    ","Y2019 B","ILD    "
"HH Cars Sub-mode            Access mode","Model","Survey ","Model","Survey ","Model","Survey ","Project","Survey "
"0 car H Fixed Guideway Only Walk Access","0","0","0","0","1075","0","919","0"
"0 car H Fixed Guideway Only KNR Access","0","0","0","0","11","0","7","0"
"0 car H Fixed Guideway Only PNR Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway Only All Access","0","0","0","0","1087","0","926","0"
"0 car H Fixed Guideway+Bus  Walk Access","0","0","0","0","2210","0","2209","0"
"0 car H Fixed Guideway+Bus  KNR Access","0","0","0","0","27","0","24","0"
"0 car H Fixed Guideway+Bus  PNR Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway+Bus  All Access","0","0","0","0","2237","0","2233","0"
"0 car H Bus Only            Walk Access","56133","0","56133","0","54892","0","920","0"
"0 car H Bus Only            KNR Access","848","0","848","0","1330","0","19","0"
"0 car H Bus Only            PNR Access","0","0","0","0","0","0","0","0"
"0 car H Bus Only            All Access","56981","0","56981","0","56222","0","940","0"
"0 car H All Transit         Walk Access","56133","0","56133","0","58177","0","4048","0"
"0 car H All Transit         KNR Access","848","0","848","0","1368","0","50","0"
"0 car H All Transit         PNR Access","0","0","0","0","0","0","0","0"
"0 car H All Transit         All Access","56981","0","56981","0","59545","0","4098","0"
"0 car H All Fixed Guideway  Walk Access","0","0","0","0","3285","0","3128","0"
"0 car H All Fixed Guideway  KNR Access","0","0","0","0","38","0","30","0"
"0 car H All Fixed Guideway  PNR Access","0","0","0","0","0","0","0","0"
"0 car H All Fixed Guideway  All Access","0","0","0","0","3324","0","3158","0"
"1 car H Fixed Guideway Only Walk Access","0","0","0","0","2058","0","1765","0"
"1 car H Fixed Guideway Only KNR Access","0","0","0","0","39","0","28","0"
