"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27"
"Table     2","03",,,,,,,,,,,,,,,,,,,,,,,,,
"Attraction","istrict","-Station Group Resul","s - It","ration","1",,,,,,,,,,,,,,,,,,,,,
,"Station","Groups-------------",,,,,,,,,,,,,,,,,,,,,,,,
"District",,,,,,,,,,,,,,,,,,,,,,,,,"RAIL","Total"
"1  CBD","32011","980     10     18","283","434","456","49","218","79","33","321","7","274","0","212","8","137","68","98","0","46","204","71","88","241","0","36356"
"2  Kakaa","1389","9354      0      0","139","161","223","23","43","4","5","119","0","46","0","83","0","9","21","13","0","7","74","333","46","636","0","12738"
"3  MAKIK","376","45   1479     75","48","11","66","2","5","7","0","6","0","7","0","7","0","25","4","3","0","3","0","70","135","398","0","2783"
"4  WAIKI","2325","1136    738  17711","244","112","313","74","9","23","36","62","3","171","0","73","0","107","20","58","0","4","40","7","132","681","0","24092"
"5  KAIMU","1180","195    240    716","11111","9","106","16","13","0","4","55","0","44","0","14","0","105","5","21","0","0","13","152","528","212","0","14751"
"6  KALIH","739","20      0      0","37","4379","2212","31","40","7","7","14","0","78","0","7","0","13","0","5","0","1","93","43","6","22","0","7765"
"7  IWILE","2089","140      0      0","130","201","13600","79","123","46","65","80","1","242","0","79","18","11","3","16","0","18","77","36","22","74","0","17162"
"8  Airpo","667","19      0      4","39","15","574","3368","2046","179","35","31","0","33","0","38","10","0","2","5","0","27","46","0","12","74","0","7235"
"9  SALTL","408","46      0      0","53","378","1681","611","3599","110","9","44","0","108","0","8","0","0","15","0","0","7","53","2","5","26","0","7173"
"10  BAS10","541","17      0      1","7","0","459","1222","71","7240","100","96","0","377","9","54","0","0","0","2","0","8","49","0","38","5","0","10305"
"11  Ewa","76","1      0      0","0","2","7","0","1","48","2126","160","0","150","0","2","0","0","0","0","0","0","17","0","0","0","0","2596"
"12  KAPOL","180","0      0      0","1","2","76","3","0","24","18","3934","94","97","0","0","0","0","0","0","0","1","99","0","0","0","0","4535"
"13  MAKAK","11","0      0      0","0","0","13","0","0","6","0","117","123","0","0","0","0","0","0","0","0","0","8","0","0","0","0","280"
"14  WAIPA","273","9      0      0","12","0","113","11","219","131","141","56","0","8560","29","21","0","0","0","0","0","7","64","0","4","14","0","9671"
"15  Waiaw","5","0      0      0","0","0","6","13","18","32","0","0","0","137","414","14","2","0","0","0","0","0","4","0","0","3","0","653"
"16  Milil","45","0      0      0","0","0","38","2","0","20","0","0","0","8","0","1340","101","0","0","0","0","45","1","0","0","0","0","1604"
"17  WAHIA","14","0      1      0","0","0","26","1","0","17","0","0","0","46","0","14","1580","0","0","0","0","73","0","0","0","1","0","1779"
"18  E HON","185","21      0     69","181","6","14","0","0","0","3","0","0","0","0","4","0","3164","3","56","0","0","13","0","31","2","0","3759"
"19  KANEO","335","3      0      0","2","95","114","2","0","0","0","0","0","0","0","0","0","0","2948","58","0","0","4","0","3","12","0","3581"
"20  Kailu","582","3      0     29","15","89","5","1","0","0","0","18","0","0","0","19","0","11","386","3357","0","0","12","0","13","18","0","4564"
"21  BAS21","122","3      0      0","0","12","8","0","0","0","0","0","0","0","0","9","8","0","118","7","968","71","0","0","0","26","0","1357"
"22  NORTH","164","1      0      0","0","0","0","0","0","0","0","0","0","23","0","0","66","0","1","8","0","1128","0","0","0","44","0","1440"
"23  Waian","131","0      0      0","1","4","47","14","0","27","1","113","2","18","0","0","0","0","0","0","0","0","4091","0","2","2","0","4459"
"24  MANOA","586","418     35      0","8","168","26","0","0","0","3","15","0","22","0","25","0","11","4","1","0","4","6","2085","190","379","0","3996"
"25  UHMAN","1248","235    617     27","236","117","252","9","1","10","5","56","0","103","0","14","0","53","21","7","0","0","11","270","7581","484","0","11366"
"26  ALAMO","1389","746    112      0","294","99","306","32","45","40","29","142","0","353","0","107","33","11","84","41","0","15","106","155","20","22820","0","26989"
"27  Other","0","0      0      0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28  BAS28","0","0      0      0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","47083","13401   3236  18657","12851","6301","20751","5573","6459","8060","2629","5452","231","10907","453","2155","1831","3663","3712","3764","968","1474","5095","3229","8866","26186","0","223000"
"2-way Total","35147","10729   6033  18084","13150","12076","21050","4871","7203","7643","5570","5147","848","13563","756","3078","2752","4207","4318","4843","967","1660","7843","5202","6699","19549","0","223000"
"2-way Goal","29388","8594   4445  14442","9212","9836","19742","3601","5304","5261","4437","3961","503","12322","526","2313","2031","2999","2659","3301","1020","1180","4869","3899","4261","14486","0","174592"
