"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"Table     2.","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station Grou","Board","ngs Pr","or to","djustm","nt",,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario  1","Y2019","XISTIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raw linked t","ansit","rips:",,"18","337.42",,,,,,,,,,,,,,,,,,,,,,,,,
"Raw unlinked","transi","trips",,"22","856.08",,,,,,,,,,,,,,,,,,,,,,,,,
"Target unlin","ed tra","sit tr","ps:","22","000.00",,,,,,,,,,,,,,,,,,,,,,,,,
"Regional cal","bratio",":",,,"0.98",,,,,,,,,,,,,,,,,,,,,,,,,
,"Des","inatio","Group","------","------","------","------","------","-",,,,,,,,,,,,,,,,,,,,,
"Origin Group","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","TOTAL","GOAL","COUNT"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAIL",,,
"1-","438","1178","1783","4337","2467","3151","3707","778","1532","1699","1363","644","14","1639","94","643","233","704","897","1219","142","159","916","735","1435","3243","0","35148","29388","29388"
"2-","1178","149","295","1907","830","867","1509","185","543","293","224","202","0","337","17","152","35","75","154","140","12","54","230","339","362","642","0","10730","8594","8594"
"3-","1783","295","209","133","788","133","811","188","185","36","0","0","0","54","0","0","0","127","0","0","0","0","0","292","530","469","0","6033","4445","4445"
"4-","4337","1907","133","2344","1161","843","1201","520","169","2","245","0","0","620","0","0","0","657","10","172","0","0","0","172","506","3087","0","18085","14442","14442"
"5-","2467","830","788","1161","3752","180","705","1","249","0","0","0","0","0","0","0","0","720","2","60","0","0","0","154","586","1495","0","13151","9212","9212"
"6-","3151","867","133","843","180","2096","2137","0","82","0","0","0","0","0","0","0","0","56","245","274","26","0","0","489","290","1207","0","12077","9836","9836"
"7-","3707","1509","811","1201","705","2137","1829","670","1399","1088","316","258","12","1220","35","365","220","84","166","66","9","67","587","77","427","2085","0","21051","19742","19742"
"8-","778","185","188","520","1","0","670","534","267","227","212","59","0","390","28","79","119","0","0","0","0","0","89","0","74","450","0","4871","3601","3601"
"9-","1532","543","185","169","249","82","1399","267","1176","388","136","12","0","487","13","14","48","0","0","0","0","0","11","0","1","495","0","7203","5304","5304"
"10-","1699","293","36","2","0","0","1088","227","388","1741","308","166","4","803","89","123","157","0","0","0","0","0","206","0","45","269","0","7643","5261","5261"
"11-","1363","224","0","245","0","0","316","212","136","308","1086","471","0","1008","0","1","0","0","0","0","0","0","2","0","0","196","0","5570","4437","4437"
"12-","644","202","0","0","0","0","258","59","12","166","471","1344","755","205","0","5","0","0","0","0","0","0","805","0","0","223","0","5148","3961","3961"
"13-","14","0","0","0","0","0","12","0","0","4","0","755","9","13","0","0","0","0","0","0","0","0","42","0","0","0","0","849","503","503"
"14-","1639","337","54","620","0","0","1220","390","487","803","1008","205","13","5006","323","74","113","0","0","0","0","0","443","0","52","778","0","13563","12322","12322"
"15-","94","17","0","0","0","0","35","28","13","89","0","0","0","323","4","42","43","0","0","0","0","0","0","0","0","68","0","756","526","526"
"16-","643","152","0","0","0","0","365","79","14","123","1","5","0","74","42","731","515","0","0","0","0","161","0","25","9","140","0","3078","2313","2313"
"17-","233","35","0","0","0","0","220","119","48","157","0","0","0","113","43","515","900","0","0","0","0","207","0","0","1","162","0","2753","2031","2031"
"18-","704","75","127","657","720","56","84","0","0","0","0","0","0","0","0","0","0","1144","10","80","0","0","0","22","289","240","0","4208","2999","2999"
"19-","897","154","0","10","2","245","166","0","0","0","0","0","0","0","0","0","0","10","1618","565","300","12","0","0","2","338","0","4319","2659","2659"
"20-","1219","140","0","172","60","274","66","0","0","0","0","0","0","0","0","0","0","80","565","1813","0","0","0","5","3","447","0","4844","3301","3301"
"21-","142","12","0","0","0","26","9","0","0","0","0","0","0","0","0","0","0","0","300","0","214","187","0","0","0","76","0","967","1020","1020"
"22-","159","54","0","0","0","0","67","0","0","0","0","0","0","0","0","161","207","0","12","0","187","745","0","0","0","68","0","1660","1180","1180"
"23-","916","230","0","0","0","0","587","89","11","206","2","805","42","443","0","0","0","0","0","0","0","0","4136","0","0","377","0","7843","4869","4869"
"24-","735","339","292","172","154","489","77","0","0","0","0","0","0","0","0","25","0","22","0","5","0","0","0","1041","605","1247","0","5203","3899","3899"
"25-","1435","362","530","506","586","290","427","74","1","45","0","0","0","52","0","9","1","289","2","3","0","0","0","605","570","914","0","6699","4261","4261"
"26-","3243","642","469","3087","1495","1207","2085","450","495","269","196","223","0","778","68","140","162","240","338","447","76","68","377","1247","914","834","0","19549","14486","14486"
"27-RAIL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-"
"TOTAL","35148","10730","6033","18085","13151","12077","21051","4871","7203","7643","5570","5148","849","13563","756","3078","2753","4208","4319","4844","967","1660","7843","5203","6699","19549","0","223000","-","-"
"GOAL","29388","8594","4445","14442","9212","9836","19742","3601","5304","5261","4437","3961","503","12322","526","2313","2031","2999","2659","3301","1020","1180","4869","3899","4261","14486","-","-","174592","-"
"COUNT","29388","8594","4445","14442","9212","9836","19742","3601","5304","5261","4437","3961","503","12322","526","2313","2031","2999","2659","3301","1020","1180","4869","3899","4261","14486","-","-","-","174592"
