"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"Table     9.01",,,,,,,,,,,,,,,,
"***** AVG WEEKDAY STATION","UTILIZATION (All Tra","sit/All c","r HH) ***","********",,,,,,,,,,,,
"Comparison of Station Boa","dings by Scenario fo","38","5 Station",,,,,,,,,,,,,
"All Purposes All Transit","All car HH",,,,,,,,,,,,,,,
,,,"Y2019 EXI","TING",,,,"Y2019 NO","BUILD",,,,"Y2019 B","ILD",,
,,"=========","=========","=========","=========","=========","=========","=========","=========","=========","=========","=========","=========","=========","=========","========="
"Stop_id1","Station Name","WLK","KNR","PNR","XFR","ALL","WLK","KNR","PNR","XFR","ALL","WLK","KNR","PNR","XFR","ALL"
"10001","Kualakai Rail Statio","0","0","0","0","0","0","0","0","0","0","0","1","0","127","127"
"10002","Kualakai Rail Statio","0","0","0","0","0","0","0","0","0","0","3","1","0","57","62"
"12340","New Kamaaha Ave WB","0","0","0","0","0","0","0","0","0","0","4","0","0","0","4"
"12341","New Kamaaha Ave EB","0","0","0","0","0","0","0","0","0","0","19","0","0","0","19"
"1381","FARRINGTON HWY + WAI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1580","KAMEHAMEHA HWY + OPP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1810","OLD FORT WEAVER RD +","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1812","OLD FORT WEAVER RD +","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1849","OLD FORT WEAVER RD +","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1851","OLD FORT WEAVER RD +","0","0","0","0","0","0","0","0","0","0","4","0","0","0","4"
"1853","OLD FORT WEAVER RD +","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1854","OLD FORT WEAVER RD +","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20001","UHWO Rail Station Bu","0","0","0","0","0","0","0","0","0","0","0","0","0","158","158"
"20002","UHWO Rail Station Bu","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2330","KAMEHAMEHA HWY + KAU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2474","KAMEHAMEHA HWY + KAH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3366","CENTRAL AVE + LAKE E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3367","SEABEE WAY + CUSHING","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3368","LANDING C","0","0","0","0","0","0","0","0","0","0","10","0","0","0","10"
"3370","CUSHING ST + OPP SEA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44170","WAKEA ST + HAUMEA ST","0","0","0","0","0","0","0","0","0","0","433","2","0","125","560"
"44701","Wakea + Haumea (new","0","0","0","0","0","0","0","0","0","0","83","0","0","30","114"
"66900","FARRINGTON HWY + OPP","0","0","0","0","0","0","0","0","0","0","384","2","0","438","824"
"76000","Ala Moana Center","0","0","0","0","0","0","0","0","0","0","234","8","0","2","244"
