Table    10.03
 
***** PEAK TRIPS, MILES AND HOURS BY ROUTE ************
Comparison of Weekday Operating Statistics by Scenario
PEAK=any trip serving one or more stops between 5:00 am and 9:15 am
 
                                                        Y2017 EXISTING                   Y2017 NO-BUILD                   Y2017 BUILD                     
                                                        ================================ ================================ ================================
Route_ID                 --Route Name                   #Trips     Miles        Hours    #Trips     Miles        Hours    #Trips     Miles        Hours   
======================================================= ====== ============ ============ ====== ============ ============ ====== ============ ============
1                        --1-Kaimuki-Kalihi                 56       577.98        58.55     56       577.98        58.55     56       577.98        58.55
10                       --10-Kalihi-Alewa Heights          15        76.70         7.92     15        76.70         7.92     15        76.70         7.92
102                      --1L-School Street-Hawaii Kai      13       233.99        17.95     13       233.99        17.95     13       233.99        17.95
103                      --23-Hawaii Kai-Sea Life Park      13       182.10        12.78     13       182.10        12.78     13       182.10        12.78
107                      --234-Kahala Mall-Waialae Nui       2         9.64         0.78      2         9.64         0.78      2         9.64         0.78
108                      --235-Kahala Mall-Waialae Iki       1         4.93         0.30      1         4.93         0.30      1         4.93         0.30
109                      --E-Country Express! E             25       512.66        33.47     25       512.66        33.47     25       512.66        33.47
11                       --11-Makalapa-Halawa-Aiea Heig      9       126.54         8.97      9       126.54         8.97      9       126.54         8.97
112                      --414-Palahia-Makakilo-Kapolei      9        33.65         2.57      9        33.65         2.57      9        33.65         2.57
113                      --501-Mililani Mauka               12        52.88         3.58     12        52.88         3.58     12        52.88         3.58
114                      --503-Mililani-Laulani Valley      12        41.75         3.23     12        41.75         3.23     12        41.75         3.23
115                      --504-Mililani South               10        40.35         2.82     10        40.35         2.82     10        40.35         2.82
117                      --94-Villages of Kapolei-Kaupe      3        62.82         4.50      3        62.82         4.50      3        62.82         4.50
118                      --PH1-Waianae Coast-Pearl Harb      1        29.02         1.73      1        29.02         1.73      1        29.02         1.73
119                      --PH2-Mililani Town-Pearl Harb      1        19.12         1.15      1        19.12         1.15      1        19.12         1.15
120                      --PH3-Wahiawa Heights-Pearl Ha      1        19.23         1.10      1        19.23         1.10      1        19.23         1.10
121                      --PH4-Kaneohe-Kahaluu-Pearl Ha      1        25.33         1.23      1        25.33         1.23      1        25.33         1.23
122                      --PH5-Windward-Pearl Harbor Ex      1        20.55         1.02      1        20.55         1.02      1        20.55         1.02
123                      --PH6-Hawaii Kai-Pearl Harbor       1        28.32         1.30      1        28.32         1.30      1        28.32         1.30
