Table    10.04
 
***** OFF-PEAK TRIPS, MILES AND HOURS BY ROUTE ************
Comparison of Weekday Operating Statistics by Scenario
OFF-PEAK=any trip serving one or more stops between 10:00 am and 2:15 pm
 
                                                        Y2017 EXISTING                   Y2017 NO-BUILD                   Y2017 BUILD                     
                                                        ================================ ================================ ================================
Route_ID                 --Route Name                   #Trips     Miles        Hours    #Trips     Miles        Hours    #Trips     Miles        Hours   
======================================================= ====== ============ ============ ====== ============ ============ ====== ============ ============
1                        --1-Kaimuki-Kalihi                 53       369.58        47.57     53       369.58        47.57     53       369.58        47.57
10                       --10-Kalihi-Alewa Heights          16        67.81         6.95     16        67.81         6.95     16        67.81         6.95
102                      --1L-School Street-Hawaii Kai      26       524.92        41.64     26       524.92        41.64     26       524.92        41.64
103                      --23-Hawaii Kai-Sea Life Park      18       233.96        17.60     18       233.96        17.60     18       233.96        17.60
107                      --234-Kahala Mall-Waialae Nui       0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
108                      --235-Kahala Mall-Waialae Iki       0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
109                      --E-Country Express! E             32       502.25        35.67     32       502.25        35.67     32       502.25        35.67
11                       --11-Makalapa-Halawa-Aiea Heig     10       140.67         9.68     10       140.67         9.68     10       140.67         9.68
112                      --414-Palahia-Makakilo-Kapolei      9        33.65         2.52      9        33.65         2.52      9        33.65         2.52
113                      --501-Mililani Mauka               11        49.26         3.15     11        49.26         3.15     11        49.26         3.15
114                      --503-Mililani-Laulani Valley       9        40.60         3.00      9        40.60         3.00      9        40.60         3.00
115                      --504-Mililani South               12        48.42         3.60     12        48.42         3.60     12        48.42         3.60
117                      --94-Villages of Kapolei-Kaupe      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
118                      --PH1-Waianae Coast-Pearl Harb      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
119                      --PH2-Mililani Town-Pearl Harb      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
120                      --PH3-Wahiawa Heights-Pearl Ha      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
121                      --PH4-Kaneohe-Kahaluu-Pearl Ha      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
122                      --PH5-Windward-Pearl Harbor Ex      0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
123                      --PH6-Hawaii Kai-Pearl Harbor       0         0.00         0.00      0         0.00         0.00      0         0.00         0.00
124                      --57A-Kailua-Enchanted Lake        13       169.13        10.80     13       169.13        10.80     13       169.13        10.80
125                      --9S-Palolo Valley                 18        39.56         3.33     18        39.56         3.33     18        39.56         3.33
126                      --9-Kaimuki-Pearl Harbor           19       219.33        23.58     19       219.33        23.58     19       219.33        23.58
127                      --13-Liliha-Waikiki-University     56       413.19        55.87     56       413.19        55.87     56       413.19        55.87
128                      --24-Kapahulu-Aina Haina           11        75.38         5.22     11        75.38         5.22     11        75.38         5.22
129                      --52-Honolulu-Mililani-Wahiawa     33       730.69        40.37     33       730.69        40.37     33       730.69        40.37
13                       --14-St. Louis-Kahala-Maunalan     19       108.97         8.75     19       108.97         8.75     19       108.97         8.75
130                      --55-Honolulu-Kaneohe-Wahiawa      32      1234.20        63.70     32      1234.20        63.70     32      1234.20        63.70
