"X1","X2","X3","X4","X5"
"Table    10.05",,,,
"***** AVG WEEKDAY ROUTE UTILIZATION BY ROUTE ACCESS TYP","********","***",,
"Comparison of Route Boardings by Scenario by Route-Spec","fic Mode","of-Access",,
"Total Transit Trips",,,,
,,"Y2017 EXISTING","Y2017 NO-BUILD","Y2017 BUILD"
,,"=================================================","=================================================","================================================="
"Route_ID                 --Route Name","Count","WLK       KNR       PNR       XFR       ALL","WLK       KNR       PNR       XFR       ALL","WLK       KNR       PNR       XFR       ALL"
"1                        --1-Kaimuki-Kalihi","12127","7026        67         0      1831      8925","7026        67         0      1831      8925","7026        67         0      1831      8925"
"10                       --10-Kalihi-Alewa Heights","461","235         3         0        47       284","235         3         0        47       284","235         3         0        47       284"
"102                      --1L-School Street-Hawaii Kai","4267","6923       120         0      1483      8526","6923       120         0      1483      8526","6923       120         0      1483      8526"
"103                      --23-Hawaii Kai-Sea Life Park","2520","2436        61         0       224      2721","2436        61         0       224      2721","2436        61         0       224      2721"
"107                      --234-Kahala Mall-Waialae Nui","14","61         0         0         0        61","61         0         0         0        61","61         0         0         0        61"
"108                      --235-Kahala Mall-Waialae Iki","12","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"109                      --E-Country Express! E","5588","9668       429         0      2533     12631","9668       429         0      2533     12631","9668       429         0      2533     12631"
"11                       --11-Makalapa-Halawa-Aiea Heig","1105","1044        31         0       608      1683","1044        31         0       608      1683","1044        31         0       608      1683"
"112                      --414-Palahia-Makakilo-Kapolei","353","394         0         0        21       415","394         0         0        21       415","394         0         0        21       415"
"113                      --501-Mililani Mauka","530","121        18         0         0       139","121        18         0         0       139","121        18         0         0       139"
"114                      --503-Mililani-Laulani Valley","0","78         0         0         0        79","78         0         0         0        79","78         0         0         0        79"
"115                      --504-Mililani South","285","121         1         0        11       132","121         1         0        11       132","121         1         0        11       132"
"117                      --94-Villages of Kapolei-Kaupe","127","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"118                      --PH1-Waianae Coast-Pearl Harb","60","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"119                      --PH2-Mililani Town-Pearl Harb","49","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"120                      --PH3-Wahiawa Heights-Pearl Ha","51","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"121                      --PH4-Kaneohe-Kahaluu-Pearl Ha","52","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"122                      --PH5-Windward-Pearl Harbor Ex","34","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"123                      --PH6-Hawaii Kai-Pearl Harbor","90","0         0         0         0         0","0         0         0         0         0","0         0         0         0         0"
"124                      --57A-Kailua-Enchanted Lake","1007","1149        79         0       304      1532","1149        79         0       304      1532","1149        79         0       304      1532"
"125                      --9S-Palolo Valley","1393","1169         2         0       293      1463","1169         2         0       293      1463","1169         2         0       293      1463"
"126                      --9-Kaimuki-Pearl Harbor","5379","3295        45         0       922      4262","3295        45         0       922      4262","3295        45         0       922      4262"
