"X1","X2","X3","X4","X5","X6","X7","X8","X9"
"Table    11.04",,,,,,,,
"SUMMARY OF TRIPS BY SUBMODE, ACCESS MODE,","UTO OWN","RSHIP, A","D SCENA","IO",,,,
"Purpose All Purposes",,,,,,,,
"STOPS Model Application Model Application","AFTER S","ation Bo","rding C","libratio",,,,
"","Y2017 E","ISTING ","Y2017 N","-BUILD ","Y2017 B","ILD    ","Y2017 B","ILD    "
"HH Cars Sub-mode            Access mode","Model","Survey ","Model","Survey ","Model","Survey ","Project","Survey "
"0 car H Fixed Guideway Only Walk Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway Only KNR Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway Only PNR Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway Only All Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway+Bus  Walk Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway+Bus  KNR Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway+Bus  PNR Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway+Bus  All Access","0","0","0","0","0","0","0","0"
"0 car H Bus Only            Walk Access","60605","0","60605","0","60605","0","0","0"
"0 car H Bus Only            KNR Access","1025","0","1025","0","1025","0","0","0"
"0 car H Bus Only            PNR Access","0","0","0","0","0","0","0","0"
"0 car H Bus Only            All Access","61630","0","61630","0","61630","0","0","0"
"0 car H All Transit         Walk Access","60605","0","60605","0","60605","0","0","0"
"0 car H All Transit         KNR Access","1025","0","1025","0","1025","0","0","0"
"0 car H All Transit         PNR Access","0","0","0","0","0","0","0","0"
"0 car H All Transit         All Access","61630","0","61630","0","61630","0","0","0"
"0 car H All Fixed Guideway  Walk Access","0","0","0","0","0","0","0","0"
"0 car H All Fixed Guideway  KNR Access","0","0","0","0","0","0","0","0"
"0 car H All Fixed Guideway  PNR Access","0","0","0","0","0","0","0","0"
"0 car H All Fixed Guideway  All Access","0","0","0","0","0","0","0","0"
"1 car H Fixed Guideway Only Walk Access","0","0","0","0","0","0","0","0"
"1 car H Fixed Guideway Only KNR Access","0","0","0","0","0","0","0","0"
"1 car H Fixed Guideway Only PNR Access","0","0","0","0","0","0","0","0"
