"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26"
"Table     2","03",,,,,,,,,,,,,,,,,,,,,,,,
"Attraction","istrict","-Station Group Resul","s - It","ration","1",,,,,,,,,,,,,,,,,,,,
,"Station","Groups-------------",,,,,,,,,,,,,,,,,,,,,,,
"District","CBD","Kakaak MAKIKI WAIKIK","KAIMUK","KALIHI","IWILEI","Airpor","SALTLA","PC/AIE","Ewa","KAPOLE","MAKAKI","WAIPAH","Waiawa","Milila","WAHIAW","E HONO","KANEOH","Kailua","Koolau","NORTH","Waiana","MANOA","UHMANO","ALAMOA","Total"
"1  CBD","32402","759    190     18","282","278","298","23","115","219","221","311","9","378","0","127","8","247","19","35","0","25","207","61","129","37","36411"
"2  Kakaa","1941","6085   2860      0","140","77","262","0","38","13","17","119","0","86","0","75","0","56","0","14","0","0","75","284","25","446","12621"
"3  MAKIK","450","49   1838     21","79","10","42","13","1","3","9","3","0","5","0","5","0","23","8","0","0","0","0","53","175","30","2826"
"4  WAIKI","1797","976    845  17463","365","55","563","55","3","19","41","50","0","259","0","55","0","62","15","22","0","3","39","3","77","215","22993"
"5  KAIMU","1226","280    254    666","10149","0","91","4","44","16","11","62","0","45","0","1","0","104","13","0","0","0","13","133","560","2","13685"
"6  KALIH","740","26     21      0","35","4911","1640","16","85","17","13","19","0","76","0","2","0","5","0","9","0","0","94","57","9","23","7809"
"7  IWILE","2394","366     28      0","127","289","13037","48","300","121","40","165","1","161","0","86","9","7","5","3","0","11","78","47","42","34","17409"
"8  Airpo","744","13      4     52","40","6","473","2945","2307","377","38","31","0","63","0","72","10","8","5","3","0","27","47","0","13","9","7295"
"9  SALTL","576","23     10      0","51","327","914","647","4274","131","38","37","0","118","0","9","0","0","4","0","0","13","78","10","5","0","7272"
"10  BAS10","634","0      8      0","16","26","271","284","181","7922","11","83","0","676","16","43","0","0","0","0","0","9","49","0","31","0","10269"
"11  Ewa","85","0      0      0","0","0","6","0","0","31","2131","137","0","182","0","2","0","0","0","0","0","0","17","0","0","0","2595"
"12  KAPOL","172","0      0      0","1","0","63","3","6","28","41","3788","96","156","0","1","0","0","0","0","0","0","103","0","0","0","4465"
"13  MAKAK","11","0      0      0","0","0","13","0","0","6","0","114","123","8","0","0","0","0","0","0","0","0","8","0","0","0","287"
"14  WAIPA","266","11      9      0","12","6","72","8","265","134","54","80","0","8561","54","19","0","0","2","0","0","2","51","0","0","0","9615"
"15  Waiaw","6","0      2      0","2","0","2","13","19","19","0","0","0","222","324","16","2","0","0","0","0","0","4","0","0","0","638"
"16  Milil","46","0      0      0","0","0","35","1","1","24","1","0","0","6","0","1317","31","0","0","0","0","42","1","0","0","0","1511"
"17  WAHIA","16","0      3      0","0","0","25","1","2","46","0","0","0","20","21","10","1604","0","0","0","0","105","0","0","0","0","1859"
"18  E HON","237","8      3     75","166","2","35","0","0","0","3","0","0","1","0","4","0","3151","0","21","0","0","13","0","34","1","3762"
"19  KANEO","467","0      1      0","2","64","8","0","0","0","0","0","0","7","0","0","0","0","2854","369","0","0","3","0","0","16","3796"
"20  Kailu","465","47      5      1","34","78","15","1","0","0","0","9","12","6","0","5","0","49","289","3015","0","0","10","1","0","38","4088"
"21  BAS21","123","0      0      0","0","17","13","0","0","0","0","0","0","0","0","0","21","0","51","21","975","65","0","0","0","36","1325"
"22  NORTH","159","1      0      0","0","0","0","0","0","0","0","0","0","35","0","13","58","0","0","13","0","1137","0","0","0","50","1471"
"23  Waian","133","0      2      0","1","4","28","0","11","41","9","98","2","9","0","0","0","0","0","0","0","0","4099","0","2","0","4444"
"24  MANOA","710","158    446      0","9","163","20","0","0","0","0","12","3","20","0","25","0","13","4","2","0","2","6","2069","213","35","3919"
"25  UHMAN","1220","330    671     21","237","132","242","3","0","10","5","46","0","107","0","20","0","99","44","7","0","0","11","320","7586","437","11556"
"26  ALAMO","1729","828  11737      0","288","27","287","29","46","62","51","117","0","288","0","64","34","36","18","33","0","8","107","154","11","10914","26877"
"27  Other","0","0      0      0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28  BAS28","0","0      0      0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","48763","9967  18948  18322","12048","6480","18466","4105","7706","9247","2740","5290","250","11506","416","1979","1783","3868","3338","3571","975","1456","5125","3198","8922","12332","220812"
"2-way Total","36241","8105  18931  17543","12804","11977","19340","3394","8252","8954","5762","4952","871","14162","697","2777","2696","4412","3966","4697","968","1632","7903","5087","6770","7907","220812"
"2-way Goal","33725","5763  15534  14110","11155","10605","17725","3175","8779","7356","5497","4126","739","14960","700","2600","2706","3709","2889","3909","1213","1422","6834","4707","5298","5525","194761"
