"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"Table     2.","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station Grou","Board","ngs Pr","or to","djustm","nt",,,,,,,,,,,,,,,,,,,,,,,,
"Scenario  1","Y2017","XISTIN",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raw linked t","ansit","rips:",,"18","387.23",,,,,,,,,,,,,,,,,,,,,,,,
"Raw unlinked","transi","trips",,"22","840.65",,,,,,,,,,,,,,,,,,,,,,,,
"Target unlin","ed tra","sit tr","ps:","22","000.00",,,,,,,,,,,,,,,,,,,,,,,,
"Regional cal","bratio",":",,,"0.98",,,,,,,,,,,,,,,,,,,,,,,,
,"Des","inatio","Group","------","------","------","------","------","-",,,,,,,,,,,,,,,,,,,,
"Origin Group","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","TOTAL","GOAL","COUNT"
,"CBD","Kakaak","MAKIKI","WAIKIK","KAIMUK","KALIHI","IWILEI","Airpor","SALTLA","PC/AIE","Ewa","KAPOLE","MAKAKI","WAIPAH","Waiawa","Milila","WAHIAW","E HONO","KANEOH","Kailua","Koolau","NORTH","Waiana","MANOA","UHMANO","ALAMOA",,,
"1-CBD","586","743","4966","4043","2521","3074","3934","668","1950","1995","1162","622","18","1711","39","574","256","741","1160","1203","158","175","943","818","1453","729","36242","33725","33725"
"2-Kakaak","743","106","562","1518","567","458","983","101","383","255","205","185","0","328","16","167","43","35","178","273","25","26","184","217","336","211","8106","5763","5763"
"3-MAKIKI","4966","562","1628","1712","2091","1318","2563","380","694","137","0","2","0","102","0","0","0","337","0","0","0","0","0","923","1200","317","18932","15534","15534"
"4-WAIKIK","4043","1518","1712","2208","1005","1059","1078","508","181","19","338","0","0","648","0","0","0","664","0","154","0","0","0","160","485","1764","17544","14110","14110"
"5-KAIMUK","2521","567","2091","1005","3820","261","601","4","255","5","0","0","0","0","0","0","0","719","0","66","0","0","0","115","624","149","12804","11155","11155"
"6-KALIHI","3074","458","1318","1059","261","1996","1782","0","292","0","0","0","0","0","0","0","0","63","168","268","23","0","0","522","348","344","11977","10605","10605"
"7-IWILEI","3934","983","2563","1078","601","1782","1834","395","1452","1081","310","332","14","1003","27","331","208","51","0","0","0","68","650","73","401","168","19340","17725","17725"
"8-Airpor","668","101","380","508","4","0","395","318","312","185","84","20","0","244","7","39","25","0","0","0","0","0","21","0","29","50","3394","3175","3175"
"9-SALTLA","1950","383","694","181","255","292","1452","312","1182","611","95","9","0","654","11","7","48","1","0","0","0","0","4","0","9","103","8253","8779","8779"
"10-PC/AIE","1995","255","137","19","5","0","1081","185","611","1931","373","197","4","1000","54","125","267","0","0","0","0","0","266","0","47","402","8955","7356","7356"
"11-Ewa","1162","205","0","338","0","0","310","84","95","373","1429","441","0","1072","0","0","0","0","0","0","0","0","2","0","0","250","5762","5497","5497"
"12-KAPOLE","622","185","2","0","0","0","332","20","9","197","441","1099","748","260","0","5","0","0","0","0","0","0","823","0","0","210","4953","4126","4126"
"13-MAKAKI","18","0","0","0","0","0","14","0","0","4","0","748","19","20","0","0","0","0","0","0","0","0","49","0","0","0","871","739","739"
"14-WAIPAH","1711","328","102","648","0","0","1003","244","654","1000","1072","260","20","5435","343","71","117","0","0","0","0","0","434","0","25","696","14163","14960","14960"
"15-Waiawa","39","16","0","0","0","0","27","7","11","54","0","0","0","343","39","35","37","0","0","0","0","0","0","0","0","90","697","700","700"
"16-Milila","574","167","0","0","0","0","331","39","7","125","0","5","0","71","35","619","489","0","0","0","0","158","0","13","16","128","2778","2600","2600"
"17-WAHIAW","256","43","0","0","0","0","208","25","48","267","0","0","0","117","37","489","831","0","0","0","8","208","0","0","0","161","2696","2706","2706"
"18-E HONO","741","35","337","664","719","63","51","0","1","0","0","0","0","0","0","0","0","1281","0","127","0","0","0","22","305","67","4413","3709","3709"
"19-KANEOH","1160","178","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","1385","514","280","12","0","0","0","270","3966","2889","2889"
"20-Kailua","1203","273","0","154","66","268","0","0","0","0","0","0","0","0","0","0","0","127","514","1652","15","2","0","0","0","424","4698","3909","3909"
"21-Koolau","158","25","0","0","0","23","0","0","0","0","0","0","0","0","0","0","8","0","280","15","207","183","0","0","0","70","968","1213","1213"
"22-NORTH","175","26","0","0","0","0","68","0","0","0","0","0","0","0","0","158","208","0","12","2","183","726","0","0","0","74","1633","1422","1422"
"23-Waiana","943","184","0","0","0","0","650","21","4","266","2","823","49","434","0","0","0","0","0","0","0","0","4165","0","0","362","7903","6834","6834"
"24-MANOA","818","217","923","160","115","522","73","0","0","0","0","0","0","0","0","13","0","22","0","0","0","0","0","1110","612","502","5087","4707","4707"
"25-UHMANO","1453","336","1200","485","624","348","401","29","9","47","0","0","0","25","0","16","0","305","0","0","0","0","0","612","529","351","6770","5298","5298"
"26-ALAMOA","729","211","317","1764","149","344","168","50","103","402","250","210","0","696","90","128","161","67","270","424","70","74","362","502","351","17","7907","5525","5525"
"TOTAL","36242","8106","18932","17544","12804","11977","19340","3394","8253","8955","5762","4953","871","14163","697","2778","2696","4413","3966","4698","968","1633","7903","5087","6770","7907","220813","-","-"
"GOAL","33725","5763","15534","14110","11155","10605","17725","3175","8779","7356","5497","4126","739","14960","700","2600","2706","3709","2889","3909","1213","1422","6834","4707","5298","5525","-","194761","-"
"COUNT","33725","5763","15534","14110","11155","10605","17725","3175","8779","7356","5497","4126","739","14960","700","2600","2706","3709","2889","3909","1213","1422","6834","4707","5298","5525","-","-","194761"
