"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"Table","4.01",,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** WEE","DAY LINK","D TRANSI","TRIPS (","ll Trans","t/All ca","HH) ***",,,,,,,,,,,,,,,,,,,,,,
"Distric","to Dist","ict MODE","Summary","for Scen","rio  3:","2017 BUI","D",,,,,,,,,,,,,,,,,,,,,
"All Pur","oses All","Transit","ll Acces","All car","HH",,,,,,,,,,,,,,,,,,,,,,,
"Idist","CBD","Kakaa","MAKIK","WAIKI","KAIMU","KALIH","IWILE","Airpo","SALTL","DIS10","Ewa","KAPOL","MAKAK","WAIPA","Waiaw","Milil","WAHIA","E HON","KANEO","Kailu","DIS21","NORTH","Waian","MANOA","UHMAN","ALAMO","Other","Total"
"CBD","209","458","119","899","661","708","968","208","297","386","43","51","6","241","0","23","50","70","75","138","49","19","44","101","457","1269","0","7549"
"Kakaa","731","26","97","545","404","163","465","96","264","152","23","11","2","77","6","32","5","44","36","74","9","4","37","76","339","259","0","3976"
"MAKIK","1481","304","66","406","825","340","755","198","264","145","4","31","0","91","3","20","1","134","19","56","34","3","13","206","329","339","0","6066"
"WAIKI","4143","676","116","1389","1184","463","1190","1133","311","296","60","37","6","196","3","16","2","625","64","281","43","80","35","318","673","2253","0","15595"
"KAIMU","2662","647","168","917","1499","331","581","137","242","50","6","26","0","96","3","2","4","568","16","106","17","5","11","121","553","1571","0","10339"
"KALIH","3867","1636","279","2157","738","1161","2142","364","624","430","36","30","0","420","32","23","13","114","109","94","4","8","42","600","708","2039","0","17670"
"IWILE","2323","1314","137","1392","1002","604","979","444","706","598","77","73","0","457","38","28","62","178","71","98","27","39","78","168","386","1918","0","13197"
"Airpo","253","89","8","648","14","25","242","72","133","121","21","11","2","70","8","11","19","5","27","8","0","0","9","10","48","267","0","2121"
"SALTL","1992","534","114","440","361","274","761","92","812","416","13","10","2","235","9","13","10","24","40","1","0","0","13","47","209","919","0","7343"
"DIS10","1449","274","60","324","157","174","551","178","224","874","64","73","12","511","29","59","90","18","17","40","20","0","80","65","220","676","0","6240"
"Ewa","1340","331","45","743","128","103","454","296","283","699","905","394","8","1207","19","14","10","13","22","10","4","13","35","66","146","466","0","7755"
"KAPOL","418","101","20","121","33","24","112","41","34","151","142","274","3","113","0","6","7","13","0","8","1","0","143","37","60","177","0","2042"
"MAKAK","208","56","1","26","43","14","40","19","43","55","48","588","14","62","0","0","0","0","0","17","0","0","59","10","20","71","0","1393"
"WAIPA","2054","328","87","1032","250","436","1334","538","325","1241","449","236","0","3416","221","34","91","11","15","46","0","14","118","65","325","946","0","13612"
"Waiaw","320","40","4","51","6","11","132","22","47","217","33","10","0","131","6","38","16","1","0","2","0","0","48","12","36","271","0","1454"
"Milil","829","97","15","92","55","46","233","150","33","103","6","15","0","160","17","411","192","18","0","7","35","40","5","7","113","140","0","2818"
"WAHIA","479","113","23","67","27","16","300","140","52","318","16","34","8","169","41","328","761","5","19","5","19","128","13","35","39","290","0","3444"
"E HON","820","112","62","524","657","56","102","60","21","12","0","7","0","0","0","3","1","398","0","40","9","2","0","44","251","307","0","3488"
"KANEO","731","193","5","88","38","68","188","36","32","3","0","17","3","43","0","0","0","15","560","323","233","7","4","46","90","277","0","3000"
"Kailu","882","167","73","252","168","58","212","76","57","22","2","7","0","2","0","0","0","109","508","827","81","12","0","60","208","501","0","4286"
"DIS21","101","39","3","11","16","19","28","9","1","0","0","21","0","5","0","6","12","0","294","24","361","169","3","0","13","96","0","1229"
"NORTH","89","12","3","59","0","5","31","25","28","12","0","1","0","6","5","143","219","2","9","0","196","285","0","2","6","48","0","1186"
"Waian","964","382","31","194","66","133","338","207","238","413","70","1037","74","674","25","11","1","37","20","37","5","0","2282","25","30","595","0","7889"
"MANOA","1807","373","140","862","671","291","619","102","247","110","2","42","2","106","6","13","19","101","49","105","24","51","27","297","783","1332","0","8180"
"UHMAN","617","213","8","426","293","95","305","73","51","91","0","0","0","74","0","0","0","16","13","61","0","6","0","256","22","571","0","3190"
"ALAMO","1170","198","54","1382","744","362","600","260","219","252","53","21","0","159","0","4","24","114","69","156","27","26","37","204","306","90","0","6533"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","31941","8711","1737","15047","10042","5979","13661","4976","5591","7166","2074","3057","143","8723","470","1237","1611","2633","2052","2566","1197","911","3137","2876","6369","17688","0","161594"
