Table    10.05
 
***** AVG WEEKDAY ROUTE UTILIZATION BY ROUTE ACCESS TYPE************
Comparison of Route Boardings by Scenario by Route-Specific Mode-of-Access
Total Transit Trips
                                                                 Y2019 EXISTING                                    Y2019 NO-BUILD                                    Y2019 BUILD                                      
                                                                 ================================================= ================================================= =================================================
Route_ID                 --Route Name                    Count      WLK       KNR       PNR       XFR       ALL       WLK       KNR       PNR       XFR       ALL       WLK       KNR       PNR       XFR       ALL   
======================================================= ======== ========= ========= ========= ========= ========= ========= ========= ========= ========= ========= ========= ========= ========= ========= =========
1                        --1-Kaimuki-Kalihi                13238      6721        79         0      1715      8515      6721        79         0      1715      8515      6721        79         0      1715      8515
10                       --10-Kalihi-Alewa Heights           451       248         2         0        38       288       248         2         0        38       288       248         2         0        38       288
102                      --1L-School Street-Hawaii Kai      3574      6564       144         0       843      7550      6564       144         0       843      7550      6564       144         0       843      7550
103                      --23-Hawaii Kai-Sea Life Park      1694      1011        39         0       167      1216      1011        39         0       167      1216      1011        39         0       167      1216
107                      --234-Kahala Mall-Waialae Nui        14        49         0         0         0        49        49         0         0         0        49        49         0         0         0        49
108                      --235-Kahala Mall-Waialae Iki        10         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
109                      --E-Country Express! E             4838      9088       360         0      2739     12187      9088       360         0      2739     12187      9088       360         0      2739     12187
11                       --11-Makalapa-Halawa-Aiea Heig      850       986        32         0       467      1485       986        32         0       467      1485       986        32         0       467      1485
112                      --414-Palahia-Makakilo-Kapolei      254       261         0         0         4       266       261         0         0         4       266       261         0         0         4       266
113                      --501-Mililani Mauka                353       114        51         0         0       165       114        51         0         0       165       114        51         0         0       165
114                      --503-Mililani-Laulani Valley       136        28         0         0         4        32        28         0         0         4        32        28         0         0         4        32
115                      --504-Mililani South                256       116         1         0         8       124       116         1         0         8       124       116         1         0         8       124
117                      --94-Villages of Kapolei-Kaupe      106         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
118                      --PH1-Waianae Coast-Pearl Harb       51         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
119                      --PH2-Mililani Town-Pearl Harb       38         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
120                      --PH3-Wahiawa Heights-Pearl Ha       39         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
121                      --PH4-Kailua-Kahaluu-Pearl Har       37         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
123                      --PH6-Hawaii Kai-Pearl Harbor        77         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
125                      --9S-Palolo Valley                  946       862         1         0       201      1064       862         1         0       201      1064       862         1         0       201      1064
126                      --9-Kaimuki-Pearl Harbor           4800      2599        42         0       669      3309      2599        42         0       669      3309      2599        42         0       669      3309
127                      --13-Liliha-Waikiki-University    11995      5710        55         0      1170      6934      5710        55         0      1170      6934      5710        55         0      1170      6934
128                      --24-Kapahulu-Aina Haina            465       402         5         0        14       421       402         5         0        14       421       402         5         0        14       421
129                      --52-Honolulu-Mililani-Wahiawa     3286      3586       241         0      1102      4929      3586       241         0      1102      4929      3586       241         0      1102      4929
13                       --14-St. Louis-Kahala-Maunalan      539       604        11         0       156       771       604        11         0       156       771       604        11         0       156       771
131                      --51-Honolulu-Wahiawa              4545      4093        88         0       574      4755      4093        88         0       574      4755      4093        88         0       574      4755
132                      --2L-Waikiki-School-Middle Lim     1463      1378         5         0       245      1627      1378         5         0       245      1627      1378         5         0       245      1627
134                      --416-Kapolei Circulator            245        42         4         0        17        62        42         4         0        17        62        42         4         0        17        62
135                      --99-Wahiawa-Mililani-Waipahu-      133        16         0         0         0        17        16         0         0         0        17        16         0         0         0        17
136                      --PH7-Ewa Beach-Pearl Harbor E       43         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
137                      --87-Windward Express-Kailua        151        13         0         0         0        13        13         0         0         0        13        13         0         0         0        13
