"Route ID","Route Name","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Table    10.04",,,,,,,,,,
"***** OFF-PEAK TRIPS, MILES AND HOURS BY ROUTE ********",,"***",,,,,,,,
"Comparison of Weekday Operating Statistics by Scenario",,,,,,,,,,
"OFF-PEAK=any trip serving one or more stops between 10:",,"0 am a","d 2:15 pm",,,,,,,
,,"Y2019","XISTING",,"Y2019","O-BUILD",,"Y2019","UILD",
,,"======","============","============","======","============","============","======","============","============"
"Route_ID","Route Name","#Trips","Miles","Hours","#Trips","Miles","Hours","#Trips","Miles","Hours"
"1","1-Kaimuki-Kalihi","53","370.23","47.17","53","370.23","47.17","53","370.23","47.17"
"10","10-Kalihi-Alewa Heights","16","67.81","6.95","16","67.81","6.95","16","67.81","6.95"
"102","1L-School Street-Hawaii Kai","21","423.74","33.87","21","423.74","33.87","21","423.74","33.87"
"103","23-Hawaii Kai-Sea Life Park","13","208.71","19.07","13","208.71","19.07","13","208.71","19.07"
"107","234-Kahala Mall-Waialae Nui","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"108","235-Kahala Mall-Waialae Iki","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"109","E-Country Express! E","23","517.03","37.98","23","517.03","37.98","23","517.03","37.98"
"11","11-Makalapa-Halawa-Aiea Heig","10","140.38","9.22","10","140.38","9.22","10","140.38","9.22"
"112","414-Palahia-Makakilo-Kapolei","9","34.03","2.52","9","34.03","2.52","9","34.03","2.52"
"113","501-Mililani Mauka","11","49.21","3.12","11","49.21","3.12","11","49.21","3.12"
"114","503-Mililani-Laulani Valley","9","40.06","2.95","9","40.06","2.95","9","40.06","2.95"
"115","504-Mililani South","12","48.43","3.53","12","48.43","3.53","12","48.43","3.53"
"117","94-Villages of Kapolei-Kaupe","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"118","PH1-Waianae Coast-Pearl Harb","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"119","PH2-Mililani Town-Pearl Harb","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"120","PH3-Wahiawa Heights-Pearl Ha","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
