"X1","X2","X3","X4","X5","X6","X7","X8","X9"
"Table    11.04",,,,,,,,
"SUMMARY OF TRIPS BY SUBMODE, ACCESS MODE,","UTO OWN","RSHIP, A","D SCENA","IO",,,,
"Purpose All Purposes",,,,,,,,
"STOPS Model Application Model Application","AFTER S","ation Bo","rding C","libratio",,,,
"","Y2019 E","ISTING ","Y2019 N","-BUILD ","Y2019 B","ILD    ","Y2019 B","ILD    "
"HH Cars Sub-mode            Access mode","Model","Survey ","Model","Survey ","Model","Survey ","Project","Survey "
"0 car H Fixed Guideway Only Walk Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway Only KNR Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway Only PNR Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway Only All Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway+Bus  Walk Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway+Bus  KNR Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway+Bus  PNR Access","0","0","0","0","0","0","0","0"
"0 car H Fixed Guideway+Bus  All Access","0","0","0","0","0","0","0","0"
"0 car H Bus Only            Walk Access","56133","0","56133","0","56133","0","0","0"
"0 car H Bus Only            KNR Access","848","0","848","0","848","0","0","0"
"0 car H Bus Only            PNR Access","0","0","0","0","0","0","0","0"
"0 car H Bus Only            All Access","56981","0","56981","0","56981","0","0","0"
"0 car H All Transit         Walk Access","56133","0","56133","0","56133","0","0","0"
"0 car H All Transit         KNR Access","848","0","848","0","848","0","0","0"
"0 car H All Transit         PNR Access","0","0","0","0","0","0","0","0"
"0 car H All Transit         All Access","56981","0","56981","0","56981","0","0","0"
"0 car H All Fixed Guideway  Walk Access","0","0","0","0","0","0","0","0"
"0 car H All Fixed Guideway  KNR Access","0","0","0","0","0","0","0","0"
"0 car H All Fixed Guideway  PNR Access","0","0","0","0","0","0","0","0"
"0 car H All Fixed Guideway  All Access","0","0","0","0","0","0","0","0"
"1 car H Fixed Guideway Only Walk Access","0","0","0","0","0","0","0","0"
"1 car H Fixed Guideway Only KNR Access","0","0","0","0","0","0","0","0"
"1 car H Fixed Guideway Only PNR Access","0","0","0","0","0","0","0","0"
