*** WEEKDAY INCREMENTAL LINKED TRANSIT TRIPS (All Fixed Guideway/All car HH) (VS. NO-BUILD) ***
District to District MODEL Summary for Scenario  3: Y2019 BUILD                             
All Purposes All Fixed Guideway All Access All car HH
Idist     CBD      Kakaa    MAKIK    WAIKI    KAIMU    KALIH    IWILE    Airpo    SALTL    Pearl    Ewa      KAPOL    MAKAK    WAIPA    Waiaw    Milil    WAHIA    E HON    KANEO    Kailu    DIS21    NORTH    Waian    MANOA    UHMAN    ALAMO    Other    Total
======= ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ========
CBD           0        0        0        0        0        0        0        0        0       32       10        6        2       97        0        0        0        0        0        0        0        0        0        0        0        0        0      148
Kakaa         0        0        0        0        1        0        0        0        0       24        0        0        0        8        0        0        0        0        0        0        0        0        0        0        0        0        0       33
MAKIK         0        0        0        7        1        0        0        0        0       10        0        0        0       53        0        0        0        0        0        0        0        0        0        0        0        0        0       72
WAIKI         0        0        0        5        1        0        0        0        0        0        0        5        0       16        0        0        0        0        0        0        0        0        0        0        0        0        0       27
KAIMU         0        0        0        0        0        0        0        0        0        7        1        0        0       29        0        0        0        0        0        0        0        0        0        0        0        0        0       37
KALIH         0        0        1       25        1        0        0        0        0       17       24        5        0      166        0        0        0        1        0        0        0        0        2        0        0        2        0      245
IWILE         0        0        0        6        2        0        0        0        0       11       37       17        0      245        0        0        0        0        0        0        0        0        8        0        0        1        0      328
Airpo         0        0        0        0        0        0        0        0        0        2       22       11        2       77        1        0        0        0        0        0        0        0        3        0        0        0        0      118
SALTL         0        0        0        1        0        0        0        2        0       30        1       12        1      146        0        0        0        0        0        0        0        0       10        0        0        1        0      204
Pearl        41       35        6       32        5        5       27        4       20      268       85       67        8      649        2        0        0        1        2        3        0        0       97        0        9       65        0     1432
Ewa          26       26       18      204       39       33       71       89       83      397       55        4        1      268        3        0        6        3        0        0        0        0        3        0        0       70        0     1399
KAPOL        53       19        2       28        9       16        3       53       12      274        3        0        0      197        0        7        8        0        0        0        0        0        0        0        5        4        0      692
MAKAK        12        2        1        4        8        4        0       18       10       73        0        0        0       53        0        0        0        0        0        4        0        0        0        4        3       21        0      217
WAIPA       323      111       33      380       50      142      395      338      174     1619      261      106        0     1600       17        7       11        7        0       14        0        1      120       26       89      373        0     6195
Waiaw         0        2        0        0        0        0       14        0        1        5        9       33        0       25        0        0        0        0        0        0        0        0       57        1        1       37        0      187
Milil         0        0        0        0        6        0        0        0        0        0        5        8        0        9        0        0        0        0        0        0        0        0        9        0        0        0        0       38
WAHIA        11        0        0        2        0        0        0        0        4        2        6       24       12       12        0        0        0        0        0        0        0        0       18        0        0        1        0       92
E HON         0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1
KANEO         0        0        0        0        0        0        0        0        0        0        0        5        1        8        0        0        0        0        0        0        0        0        0        0        0        0        0       14
Kailu         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
DIS21         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
NORTH         0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        1
Waian         0        0        0        0        0        2        4      230       97      707       30        0        0      601       14       14        0        3        0        0        0        0        0        0        0        0        0     1703
MANOA         0        0        0        0        0        0        0        0        0        9        0        6        0       45        0        0        0        0        0        0        0        0        0        0        0        0        0       60
UHMAN         0        0        0        0        0        0        0        0        0        0        0        0        0       35        0        0        0        0        0        0        0        0        0        0        0        0        0       35
ALAMO         0        0        0        3        1        0        0        0        0       14        0        7        0      123        0        0        0        0        0        0        0        0        0        0        0        0        0      148
Other         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Total       466      196       60      699      123      202      515      735      402     3500      551      320       28     4462       36       28       26       15        2       21        0        1      326       32      109      574        0    13426
