RemainingLow,RemainingHigh,StopNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1,1,0.532660422,0.467339578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1,2,0.705975506,0.294024494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1,4,0.746211976,0.253788024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,2,1,0.560649264,0.430699837,0.0086509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,2,2,0.526853999,0.473146001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,2,3,0.543751631,0.451922919,0.00432545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,2,4,0.543751631,0.451922919,0.00432545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,3,1,0.380091478,0.446071285,0.163326384,0.010510853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,3,2,0.346068191,0.653931809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,3,3,0.231235907,0.768764093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,3,4,0.319131859,0.622922396,0.054442128,0.003503618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,4,1,0.440698691,0.503459434,0.04469641,0.011145466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,4,2,0.292823333,0.614929707,0.078391889,0.013855071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,4,3,0.585164513,0.414835487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,5,1,0.464710967,0.213849102,0.257483202,0.042458767,0.021497962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,5,2,0.23501065,0.729082922,0.035906428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,5,3,0.935138501,0,0.064861499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,6,1,0.362956559,0.409000278,0.137335917,0.066825232,0.023882014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,6,2,0.420748766,0.249519729,0.329731505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,6,3,0.176874967,0.558385089,0.264739945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,6,4,0.290641337,0.709358663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,7,1,0.397776182,0.357519718,0.12610066,0.058002662,0.060600778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
