Purpose,PersonType,Duration,DurationLo,DurationHi,Outbound,Inbound,Percent
1,,0to2,0,2,0,0,0.764858227
1,,0to2,0,2,0,1,0.114380961
1,,0to2,0,2,0,2,0.024451366
1,,0to2,0,2,0,4,0.00552151
1,,0to2,0,2,1,0,0.058915007
1,,0to2,0,2,1,1,0.010004455
1,,0to2,0,2,1,2,0.001751379
1,,0to2,0,2,2,0,0.013469462
1,,0to2,0,2,2,2,0.001179987
1,,0to2,0,2,4,1,0.005467646
1,,12to24,12,24,0,0,0.507914867
1,,12to24,12,24,0,1,0.138914198
1,,12to24,12,24,0,2,0.070155382
1,,12to24,12,24,0,3,0.023560983
1,,12to24,12,24,0,4,0.018551745
1,,12to24,12,24,1,0,0.055983279
1,,12to24,12,24,1,1,0.060299486
1,,12to24,12,24,1,2,0.031995473
1,,12to24,12,24,1,3,0.015046352
1,,12to24,12,24,1,4,0.011226646
1,,12to24,12,24,2,0,0.010541207
1,,12to24,12,24,2,1,0.02639005
1,,12to24,12,24,2,2,0.008497661
1,,12to24,12,24,2,3,0.000284117
1,,12to24,12,24,2,4,0.001816037
1,,12to24,12,24,3,0,0.00432357
1,,12to24,12,24,3,1,0.006780692
1,,12to24,12,24,3,2,0.000413515
1,,12to24,12,24,4,0,0.000959717
1,,12to24,12,24,4,1,0.004194485
1,,12to24,12,24,4,4,0.002150537
1,,2to4,2,4,0,0,0.599504204
1,,2to4,2,4,0,1,0.135664395
1,,2to4,2,4,0,2,0.047817783
1,,2to4,2,4,0,3,0.041333871
1,,2to4,2,4,1,0,0.090599372
1,,2to4,2,4,1,1,0.02788966
1,,2to4,2,4,1,2,0.008902196
1,,2to4,2,4,2,0,0.011933815
1,,2to4,2,4,2,1,0.014594671
1,,2to4,2,4,2,2,0.001109343
1,,2to4,2,4,2,3,0.001796107
1,,2to4,2,4,3,0,0.012567243
1,,2to4,2,4,3,1,0.005277688
1,,2to4,2,4,4,1,0.001009652
1,,4to8,4,8,0,0,0.604394025
1,,4to8,4,8,0,1,0.112667348
1,,4to8,4,8,0,2,0.049293747
1,,4to8,4,8,0,3,0.005568307
1,,4to8,4,8,0,4,0.023688252
1,,4to8,4,8,1,0,0.066211319
1,,4to8,4,8,1,1,0.050084314
1,,4to8,4,8,1,2,0.005197265
1,,4to8,4,8,1,3,0.009632126
1,,4to8,4,8,1,4,0.008188592
1,,4to8,4,8,2,0,0.01758739
1,,4to8,4,8,2,1,0.003904372
1,,4to8,4,8,2,2,0.013194027
1,,4to8,4,8,2,3,0.001057244
1,,4to8,4,8,2,4,0.002398569
1,,4to8,4,8,3,0,0.001046075
1,,4to8,4,8,3,1,0.003268436
1,,4to8,4,8,3,3,0.001922664
1,,4to8,4,8,4,0,0.01548994
1,,4to8,4,8,4,1,0.003277379
1,,4to8,4,8,4,2,0.00192861
1,,8to12,8,12,0,0,0.64709578
1,,8to12,8,12,0,1,0.105004177
1,,8to12,8,12,0,2,0.023857048
1,,8to12,8,12,0,3,0.007181472
1,,8to12,8,12,0,4,0.006208209
1,,8to12,8,12,1,0,0.070400785
1,,8to12,8,12,1,1,0.062176247
1,,8to12,8,12,1,2,0.019838922
1,,8to12,8,12,1,3,0.002770277
1,,8to12,8,12,1,4,0.00481188
1,,8to12,8,12,2,0,0.019065848
1,,8to12,8,12,2,1,0.006712953
1,,8to12,8,12,2,2,0.005715957
1,,8to12,8,12,2,3,0.004510485
1,,8to12,8,12,2,4,0.000370459
1,,8to12,8,12,3,0,0.001047967
1,,8to12,8,12,3,1,0.001488998
1,,8to12,8,12,3,2,0.001441254
1,,8to12,8,12,3,3,0.001143659
1,,8to12,8,12,4,0,0.003449655
1,,8to12,8,12,4,1,0.000624949
1,,8to12,8,12,4,2,0.001501766
1,,8to12,8,12,4,4,0.003581252
2,,0to2,0,2,0,0,1
2,,12to24,12,24,0,0,0.431321645
2,,12to24,12,24,0,1,0.081782185
2,,12to24,12,24,0,2,0.025037028
2,,12to24,12,24,1,0,0.134050437
2,,12to24,12,24,1,1,0.008780357
2,,12to24,12,24,1,2,0.075953539
2,,12to24,12,24,2,1,0.080456489
2,,12to24,12,24,2,3,0.162618319
2,,2to4,2,4,0,0,0.904680681
2,,2to4,2,4,0,1,0.051505849
2,,2to4,2,4,0,2,0.020569005
2,,2to4,2,4,2,0,0.023244465
2,,4to8,4,8,0,0,0.65174085
2,,4to8,4,8,0,1,0.094527912
2,,4to8,4,8,0,2,0.054239805
2,,4to8,4,8,0,3,0.068609716
2,,4to8,4,8,0,4,0.009459414
2,,4to8,4,8,1,0,0.054248901
2,,4to8,4,8,1,1,0.037014423
2,,4to8,4,8,3,0,0.016267414
2,,4to8,4,8,3,1,0.013891566
2,,8to12,8,12,0,0,0.519746528
2,,8to12,8,12,0,1,0.261646137
2,,8to12,8,12,0,2,0.015497071
2,,8to12,8,12,0,3,0.034170132
2,,8to12,8,12,1,0,0.011341145
2,,8to12,8,12,1,1,0.053095674
2,,8to12,8,12,1,2,0.027415125
2,,8to12,8,12,1,4,0.004973377
2,,8to12,8,12,2,1,0.049380622
2,,8to12,8,12,3,2,0.022734188
3,,0to2,0,2,0,0,1
3,,12to24,12,24,0,0,0.134062978
3,,12to24,12,24,0,1,0.302488379
3,,12to24,12,24,0,2,0.251312899
3,,12to24,12,24,0,3,0.078701239
3,,12to24,12,24,0,4,0.041891568
3,,12to24,12,24,1,0,0.027853523
3,,12to24,12,24,1,1,0.080402568
3,,12to24,12,24,1,2,0.061361231
3,,12to24,12,24,2,4,0.021925615
3,,2to4,2,4,0,0,0.723269591
3,,2to4,2,4,0,1,0.160973725
3,,2to4,2,4,1,0,0.115756684
3,,4to8,4,8,0,0,0.86876752
3,,4to8,4,8,0,1,0.033648559
3,,4to8,4,8,0,2,0.006072207
3,,4to8,4,8,0,4,0.002291144
3,,4to8,4,8,1,0,0.058292295
3,,4to8,4,8,1,1,0.01593551
3,,4to8,4,8,1,2,0.005008284
3,,4to8,4,8,1,3,0.002191264
3,,4to8,4,8,2,0,0.00661704
3,,4to8,4,8,2,1,0.001176178
3,,8to12,8,12,0,0,0.568886993
3,,8to12,8,12,0,1,0.187788197
