Purpose,EntryPeriod,ReturnPeriod,Percent
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,1,11,0
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,0
1,1,17,0
1,1,18,0
1,1,19,0
1,1,20,0
1,1,21,0
1,1,22,0
1,1,23,0
1,1,24,7.01E-05
1,1,25,0.000467901
1,1,26,0
1,1,27,0
1,1,28,0
1,1,29,0
1,1,30,0
1,1,31,0
1,1,32,0.000118799
1,1,33,0
1,1,34,0
1,1,35,0.00021955
1,1,36,0
1,1,37,0
1,1,38,9.07E-05
1,1,39,0
1,1,40,0
1,1,41,0
1,1,42,0
1,1,43,0
1,1,44,0
1,1,45,0
1,1,46,0
1,1,47,0
1,1,48,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0.000125508
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,2,11,0
1,2,12,0
1,2,13,0
1,2,14,0
1,2,15,0
1,2,16,0
1,2,17,7.37E-05
1,2,18,0
1,2,19,0
1,2,20,8.99E-05
1,2,21,0.001320015
1,2,22,0.000696899
1,2,23,0.000262328
1,2,24,0.000311391
1,2,25,0.000316193
1,2,26,0.000311646
1,2,27,0.000336524
1,2,28,0.000353055
1,2,29,0
1,2,30,0.000332109
1,2,31,0.000969355
1,2,32,0.000346245
1,2,33,0.00078456
1,2,34,0
1,2,35,0.000435978
1,2,36,0
1,2,37,0.000273342
1,2,38,0
1,2,39,0
1,2,40,0
1,2,41,0
1,2,42,0
1,2,43,0
1,2,44,0
1,2,45,0
1,2,46,0
1,2,47,0
1,2,48,0.000157962
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,3,11,0
1,3,12,0
1,3,13,0
1,3,14,0.000364648
1,3,15,0.000724891
1,3,16,0
1,3,17,0.00033466
1,3,18,0
1,3,19,0
1,3,20,7.45E-05
1,3,21,0
1,3,22,0.000859311
1,3,23,0.000560402
1,3,24,0.002343391
1,3,25,0.000393776
1,3,26,0.000156783
1,3,27,0.000311514
1,3,28,0.001667037
1,3,29,0.000852241
1,3,30,0.000513658
1,3,31,0.000496608
1,3,32,0.000779467
1,3,33,0.000642795
1,3,34,0
1,3,35,0.000339498
1,3,36,0.000492975
1,3,37,0
1,3,38,0
1,3,39,0
1,3,40,0.000200638
1,3,41,0
1,3,42,0
1,3,43,0.000419745
1,3,44,0
1,3,45,0
1,3,46,0
1,3,47,0
1,3,48,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0.000683227
1,4,8,0
1,4,9,0
1,4,10,0
1,4,11,0
1,4,12,0
1,4,13,0.000190249
1,4,14,0
1,4,15,0
1,4,16,0
1,4,17,0
1,4,18,0.000174515
1,4,19,0.000346322
1,4,20,0
1,4,21,0
1,4,22,0.000615168
1,4,23,0.001477328
1,4,24,0.000686418
1,4,25,0.001313629
1,4,26,0.005005837
1,4,27,0.005383515
1,4,28,0.001526211
1,4,29,0.005128528
1,4,30,0.004858221
1,4,31,0.001993322
1,4,32,0.001113693
1,4,33,0.000680938
1,4,34,0.00401593
1,4,35,0
1,4,36,0.000218778
1,4,37,0
1,4,38,0
1,4,39,0
1,4,40,0
1,4,41,0
1,4,42,0
1,4,43,0
1,4,44,0
1,4,45,9.66E-05
1,4,46,0
1,4,47,0
1,4,48,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0
1,5,11,0.000440614
1,5,12,0.000174152
1,5,13,0
1,5,14,0.000306479
1,5,15,0.000400483
1,5,16,0.000343029
1,5,17,0
1,5,18,9.91E-05
1,5,19,0
1,5,20,0
1,5,21,0.000139974
1,5,22,0.001707181
1,5,23,0.001254965
1,5,24,0.002060086
1,5,25,0.005469456
1,5,26,0.003080165
1,5,27,0.007455814
1,5,28,0.007082274
1,5,29,0.007011435
1,5,30,0.011268561
1,5,31,0.003470296
1,5,32,0.002081334
1,5,33,0.003088801
1,5,34,0.000468572
1,5,35,0.000669719
1,5,36,0.009303152
1,5,37,0.002096361
1,5,38,0.000214546
1,5,39,0
1,5,40,0.000645628
1,5,41,3.06E-05
1,5,42,0
1,5,43,0
1,5,44,0
1,5,45,0
1,5,46,0
1,5,47,0
1,5,48,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0
1,6,10,0
1,6,11,0
1,6,12,0
1,6,13,7.13E-05
1,6,14,0
1,6,15,0
1,6,16,0
1,6,17,0
1,6,18,0.00028354
1,6,19,0.000334062
1,6,20,0.00115279
1,6,21,0.000307873
1,6,22,0.000911459
1,6,23,0.001847531
1,6,24,0.001339716
1,6,25,0.00444885
1,6,26,0.010719737
1,6,27,0.012168152
1,6,28,0.015368107
1,6,29,0.008579418
1,6,30,0.007995637
1,6,31,0.003702526
1,6,32,0.006451243
1,6,33,0.002761931
1,6,34,0.002158993
1,6,35,0.001548224
1,6,36,0.000435163
1,6,37,0.000130252
1,6,38,0.000776639
1,6,39,0.000489094
1,6,40,0.000190661
1,6,41,0.000614412
1,6,42,0
1,6,43,0
1,6,44,0
1,6,45,0
1,6,46,0
1,6,47,0
1,6,48,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,5.70E-05
1,7,9,0.000238857
1,7,10,0.000408251
1,7,11,0.000323844
1,7,12,5.70E-05
1,7,13,6.28E-05
1,7,14,0
1,7,15,0.000259421
1,7,16,0.001004009
1,7,17,0
1,7,18,0.000653235
1,7,19,0.003098934
1,7,20,0.000290153
1,7,21,0.000540597
1,7,22,0.000585106
1,7,23,0.001135369
1,7,24,0.001296565
1,7,25,0.002577455
1,7,26,0.008322622
1,7,27,0.019770041
1,7,28,0.012065789
1,7,29,0.012682067
1,7,30,0.014702533
1,7,31,0.006960857
1,7,32,0.009115356
1,7,33,0.009470383
1,7,34,0.003060191
1,7,35,0.000509306
1,7,36,0.003564397
1,7,37,0.000782352
1,7,38,0.000417953
1,7,39,0.00213693
1,7,40,0.000353042
1,7,41,0.001547533
1,7,42,0.001123068
1,7,43,0
1,7,44,0
1,7,45,0
1,7,46,0
1,7,47,0
1,7,48,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0
1,8,10,0.000764375
1,8,11,0.000750642
1,8,12,0.00013698
1,8,13,0
1,8,14,0.000424929
1,8,15,0
1,8,16,0
1,8,17,0.0020885
1,8,18,0.000216097
1,8,19,0.001601821
1,8,20,0.001862
1,8,21,7.24E-05
1,8,22,0.000447302
1,8,23,0.000747597
1,8,24,0.001002208
1,8,25,0.004078066
1,8,26,0.008145486
1,8,27,0.013849264
1,8,28,0.01910656
1,8,29,0.015229413
1,8,30,0.013546747
1,8,31,0.015755061
1,8,32,0.012908964
1,8,33,0.010658249
1,8,34,0.005091115
1,8,35,0.001373317
1,8,36,0.001114735
1,8,37,0.000889423
1,8,38,0.00052692
1,8,39,0.00123045
1,8,40,0.000160561
1,8,41,0.001227087
1,8,42,0
1,8,43,0.000240211
1,8,44,0
1,8,45,0
1,8,46,0
1,8,47,0
1,8,48,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,0
1,9,10,0.000421899
1,9,11,0
1,9,12,0
1,9,13,0.00044794
1,9,14,8.87E-05
1,9,15,0.000233934
1,9,16,0
1,9,17,0.000729158
1,9,18,0.00098195
1,9,19,8.29E-05
1,9,20,0.001907134
1,9,21,0.001533922
1,9,22,0.002604964
1,9,23,0.001249316
1,9,24,0.004799654
1,9,25,0.005186651
1,9,26,0.007592663
1,9,27,0.013286263
1,9,28,0.021465595
1,9,29,0.018806173
1,9,30,0.015632053
1,9,31,0.012327751
1,9,32,0.015177266
1,9,33,0.006793727
1,9,34,0.006843081
1,9,35,0.002298788
1,9,36,0.002502588
1,9,37,0.001174236
1,9,38,0.001027297
1,9,39,0.002109329
1,9,40,0.000480064
1,9,41,0.000461147
1,9,42,0
1,9,43,0
1,9,44,0
1,9,45,0
1,9,46,0
1,9,47,0
1,9,48,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,0
1,10,11,0
1,10,12,0.000135149
1,10,13,0.000198436
1,10,14,0.000350836
1,10,15,0.000922256
1,10,16,9.38E-05
1,10,17,0.001306175
1,10,18,0
1,10,19,0.002458692
1,10,20,0.001090361
1,10,21,0.001929534
1,10,22,0.000859839
1,10,23,0.002681574
1,10,24,0.003936847
1,10,25,0.004244518
1,10,26,0.002184044
1,10,27,0.002999731
1,10,28,0.008593954
1,10,29,0.010884854
1,10,30,0.015611966
1,10,31,0.009658696
1,10,32,0.007571135
1,10,33,0.003123167
1,10,34,0.004406766
1,10,35,0.003586275
1,10,36,0.002267695
1,10,37,0.003118203
1,10,38,9.15E-05
1,10,39,0.000528768
1,10,40,0.00180136
1,10,41,0
1,10,42,0
1,10,43,0.00028646
1,10,44,0
1,10,45,0
1,10,46,0
1,10,47,0
1,10,48,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0
1,11,11,0
1,11,12,0.000236952
1,11,13,0.001693281
1,11,14,0.000602629
1,11,15,0.001272934
1,11,16,7.34E-05
1,11,17,0.000123045
1,11,18,0.000758354
1,11,19,0.001251261
1,11,20,0.000911789
1,11,21,0.00020761
1,11,22,0.001278512
1,11,23,0.000435978
1,11,24,0.000510143
1,11,25,0.001766547
1,11,26,0.001508299
1,11,27,0.006687365
1,11,28,0.003615949
1,11,29,0.007353741
1,11,30,0.007263302
1,11,31,0.006753272
1,11,32,0.00527501
1,11,33,0.004493481
1,11,34,0.001387923
1,11,35,0.001259507
1,11,36,0.000840887
1,11,37,0.000294284
1,11,38,7.97E-05
1,11,39,0
1,11,40,0.000656212
1,11,41,0.00019271
1,11,42,0
1,11,43,0
1,11,44,0
1,11,45,0
1,11,46,0
1,11,47,0
1,11,48,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,0
1,12,10,0
1,12,11,0
1,12,12,0
1,12,13,0
1,12,14,0.0002228
1,12,15,0.000120537
1,12,16,0.000141835
1,12,17,0.000653221
1,12,18,0.001935104
1,12,19,0.001345159
1,12,20,0.000675813
1,12,21,0.001304302
1,12,22,0.000581635
1,12,23,0.000263348
1,12,24,0.000889437
1,12,25,0.001819124
1,12,26,0.000927878
1,12,27,0.00180805
1,12,28,0.001874174
1,12,29,0.003189884
1,12,30,0.006619564
1,12,31,0.003913588
1,12,32,0.003135958
1,12,33,0.00193283
1,12,34,0.003406122
1,12,35,0.000644568
1,12,36,0.0014147
1,12,37,0.000269153
1,12,38,0.000259991
1,12,39,0.001364765
1,12,40,0.000345159
1,12,41,0.000607386
1,12,42,0
1,12,43,0
1,12,44,0.000188323
1,12,45,0
1,12,46,0
1,12,47,0
1,12,48,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0
1,13,10,0
1,13,11,0
1,13,12,0
1,13,13,0
1,13,14,0
1,13,15,0
1,13,16,0.000462025
1,13,17,0.000218173
1,13,18,0.000965654
1,13,19,0
1,13,20,0.00072295
1,13,21,0.001022856
1,13,22,0.000571266
1,13,23,0.000308393
1,13,24,0.001509229
1,13,25,0.000686593
1,13,26,0.00089162
1,13,27,0.001430403
1,13,28,0.001002915
1,13,29,0.004313903
1,13,30,0.002233906
1,13,31,0.002403893
1,13,32,0.002204424
1,13,33,0.001389825
1,13,34,0.005784219
1,13,35,0.001081243
1,13,36,0.000461541
1,13,37,0.000412195
1,13,38,0.001779353
1,13,39,0.002297378
1,13,40,0.000495058
1,13,41,0
1,13,42,0
1,13,43,0
1,13,44,0
1,13,45,0
1,13,46,0
1,13,47,0
1,13,48,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0
1,14,10,0
1,14,11,0
1,14,12,0
1,14,13,0
1,14,14,0
1,14,15,0.000249142
1,14,16,0
1,14,17,0
1,14,18,0.000118591
1,14,19,0
1,14,20,0.000252752
1,14,21,0.000113011
1,14,22,9.75E-05
1,14,23,0.001119385
1,14,24,0.000244264
1,14,25,0.000880835
1,14,26,0.000365138
1,14,27,0.001260708
1,14,28,0.002024254
1,14,29,0.000402461
1,14,30,0.001083508
1,14,31,0.000596473
1,14,32,0.000364857
1,14,33,0.001916624
1,14,34,0.000558333
1,14,35,0.000527783
1,14,36,6.58E-05
1,14,37,6.12E-05
1,14,38,0.000230621
1,14,39,0.001033208
1,14,40,0.000502379
1,14,41,0.000320604
1,14,42,0
1,14,43,0
1,14,44,0
1,14,45,0
1,14,46,0
1,14,47,0
1,14,48,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,15,11,0
1,15,12,0
1,15,13,0
1,15,14,0
1,15,15,0
1,15,16,0
1,15,17,0.000342153
1,15,18,0.000269189
1,15,19,0.0002458
1,15,20,0.001033902
1,15,21,0.001039115
1,15,22,0.000225584
1,15,23,0.000634514
1,15,24,0.00017887
1,15,25,5.93E-05
1,15,26,0.000621182
1,15,27,0.001676577
1,15,28,0.000486717
1,15,29,8.02E-05
1,15,30,0.000177324
1,15,31,0.000550204
1,15,32,0.002159467
1,15,33,0.00083332
1,15,34,0.000381182
1,15,35,0.001080979
1,15,36,0.000855093
1,15,37,0.000666522
1,15,38,0.000678796
1,15,39,0.000338034
1,15,40,0
1,15,41,0
1,15,42,0
1,15,43,0.000263127
1,15,44,0
1,15,45,0.00078456
1,15,46,0
1,15,47,0
1,15,48,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
