RemainingLow,RemainingHigh,StopNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,0.883379905,0,0.116620095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,0.810872049,0,0.189127951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4,0.810872049,0,0.189127951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,0.942012269,0.057987731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,0.896077051,0.103922949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,0.896077051,0.103922949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,0.687960463,0,0.253385819,0,0.058653718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,2,0.729534478,0.082496654,0.187968868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,0.580974104,0.044866686,0.271930336,0,0.102228875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,0.744134012,0.216509084,0,0,0.039356904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2,0.580146939,0.266034633,0,0,0.153818428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,3,0.633637473,0,0,0.366362527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1,0.805486075,0.070528889,0.091564519,0,0,0.016266144,0.016154374,0,0,0,0,0,0,0,0,0,0,0,0
6,6,2,0.786932358,0.046393111,0.083049959,0.083624572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,3,0.389782128,0.217738885,0.392478987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1,0.838825125,0.057886512,0.008422033,0.02291562,0,0.053419886,0.018530823,0,0,0,0,0,0,0,0,0,0,0,0
7,7,2,0.947739345,0,0,0,0,0,0.052260655,0,0,0,0,0,0,0,0,0,0,0,0
7,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
