Purpose,Duration,DurationLo,DurationHi,Outbound,Inbound,Percent
1,0to2,0,2,0,0,1
1,0to2,0,2,0,1,0
1,0to2,0,2,0,2,0
1,0to2,0,2,0,3,0
1,0to2,0,2,0,4,0
1,0to2,0,2,1,0,0
1,0to2,0,2,1,1,0
1,0to2,0,2,1,2,0
1,0to2,0,2,1,3,0
1,0to2,0,2,1,4,0
1,0to2,0,2,2,0,0
1,0to2,0,2,2,1,0
1,0to2,0,2,2,2,0
1,0to2,0,2,2,3,0
1,0to2,0,2,2,4,0
1,0to2,0,2,3,0,0
1,0to2,0,2,3,1,0
1,0to2,0,2,3,2,0
1,0to2,0,2,3,3,0
1,0to2,0,2,3,4,0
1,0to2,0,2,4,0,0
1,0to2,0,2,4,1,0
1,0to2,0,2,4,2,0
1,0to2,0,2,4,3,0
1,0to2,0,2,4,4,0
1,12to24,12,24,0,0,0.03076728
1,12to24,12,24,0,1,0.562859549
1,12to24,12,24,0,2,0.01516108
1,12to24,12,24,0,3,0.025756784
1,12to24,12,24,0,4,0.100238724
1,12to24,12,24,1,0,0.016758562
1,12to24,12,24,1,1,0
1,12to24,12,24,1,2,0
1,12to24,12,24,1,3,0
1,12to24,12,24,1,4,0
1,12to24,12,24,2,0,0
1,12to24,12,24,2,1,0.222701238
1,12to24,12,24,2,2,0
1,12to24,12,24,2,3,0
1,12to24,12,24,2,4,0
1,12to24,12,24,3,0,0
1,12to24,12,24,3,1,0
1,12to24,12,24,3,2,0
1,12to24,12,24,3,3,0
1,12to24,12,24,3,4,0
1,12to24,12,24,4,0,0.025756784
1,12to24,12,24,4,1,0
1,12to24,12,24,4,2,0
1,12to24,12,24,4,3,0
1,12to24,12,24,4,4,0
1,2to4,2,4,0,0,0.975352245
1,2to4,2,4,0,1,0
1,2to4,2,4,0,2,0.024647755
1,2to4,2,4,0,3,0
1,2to4,2,4,0,4,0
1,2to4,2,4,1,0,0
1,2to4,2,4,1,1,0
1,2to4,2,4,1,2,0
1,2to4,2,4,1,3,0
1,2to4,2,4,1,4,0
1,2to4,2,4,2,0,0
1,2to4,2,4,2,1,0
1,2to4,2,4,2,2,0
1,2to4,2,4,2,3,0
1,2to4,2,4,2,4,0
1,2to4,2,4,3,0,0
1,2to4,2,4,3,1,0
1,2to4,2,4,3,2,0
1,2to4,2,4,3,3,0
1,2to4,2,4,3,4,0
1,2to4,2,4,4,0,0
1,2to4,2,4,4,1,0
1,2to4,2,4,4,2,0
1,2to4,2,4,4,3,0
1,2to4,2,4,4,4,0
1,4to8,4,8,0,0,0.414557592
1,4to8,4,8,0,1,0.258950409
1,4to8,4,8,0,2,0.013878013
1,4to8,4,8,0,3,0
1,4to8,4,8,0,4,0
1,4to8,4,8,1,0,0.128775405
1,4to8,4,8,1,1,0.016173692
1,4to8,4,8,1,2,0
1,4to8,4,8,1,3,0
1,4to8,4,8,1,4,0
1,4to8,4,8,2,0,0.16766489
1,4to8,4,8,2,1,0
1,4to8,4,8,2,2,0
1,4to8,4,8,2,3,0
1,4to8,4,8,2,4,0
1,4to8,4,8,3,0,0
1,4to8,4,8,3,1,0
1,4to8,4,8,3,2,0
1,4to8,4,8,3,3,0
1,4to8,4,8,3,4,0
1,4to8,4,8,4,0,0
1,4to8,4,8,4,1,0
1,4to8,4,8,4,2,0
1,4to8,4,8,4,3,0
1,4to8,4,8,4,4,0
1,8to12,8,12,0,0,0.660673608
1,8to12,8,12,0,1,0.152556226
1,8to12,8,12,0,2,0
1,8to12,8,12,0,3,0.024564659
1,8to12,8,12,0,4,0
1,8to12,8,12,1,0,0.042942159
1,8to12,8,12,1,1,0.024293844
1,8to12,8,12,1,2,0.05466115
1,8to12,8,12,1,3,0
1,8to12,8,12,1,4,0
1,8to12,8,12,2,0,0.029178612
1,8to12,8,12,2,1,0
1,8to12,8,12,2,2,0
1,8to12,8,12,2,3,0
1,8to12,8,12,2,4,0
1,8to12,8,12,3,0,0.011129741
1,8to12,8,12,3,1,0
1,8to12,8,12,3,2,0
1,8to12,8,12,3,3,0
1,8to12,8,12,3,4,0
1,8to12,8,12,4,0,0
1,8to12,8,12,4,1,0
1,8to12,8,12,4,2,0
1,8to12,8,12,4,3,0
1,8to12,8,12,4,4,0
2,0to2,0,2,0,0,0.821767901
2,0to2,0,2,0,1,0.080825875
2,0to2,0,2,0,2,0
2,0to2,0,2,0,3,0
2,0to2,0,2,0,4,0
2,0to2,0,2,1,0,0.093169228
2,0to2,0,2,1,1,0
2,0to2,0,2,1,2,0
2,0to2,0,2,1,3,0
2,0to2,0,2,1,4,0
2,0to2,0,2,2,0,0.004236996
2,0to2,0,2,2,1,0
2,0to2,0,2,2,2,0
2,0to2,0,2,2,3,0
2,0to2,0,2,2,4,0
2,0to2,0,2,3,0,0
2,0to2,0,2,3,1,0
2,0to2,0,2,3,2,0
2,0to2,0,2,3,3,0
2,0to2,0,2,3,4,0
2,0to2,0,2,4,0,0
2,0to2,0,2,4,1,0
2,0to2,0,2,4,2,0
2,0to2,0,2,4,3,0
2,0to2,0,2,4,4,0
2,12to24,12,24,0,0,0.027057558
2,12to24,12,24,0,1,0.226546697
2,12to24,12,24,0,2,0.026958564
2,12to24,12,24,0,3,0.103547251
2,12to24,12,24,0,4,0.048679363
2,12to24,12,24,1,0,0.044968705
2,12to24,12,24,1,1,0
2,12to24,12,24,1,2,0.00312555
2,12to24,12,24,1,3,0.019474649
2,12to24,12,24,1,4,0.036109338
2,12to24,12,24,2,0,0.019434593
2,12to24,12,24,2,1,0
2,12to24,12,24,2,2,0
2,12to24,12,24,2,3,0
2,12to24,12,24,2,4,0
2,12to24,12,24,3,0,0.049402209
2,12to24,12,24,3,1,0
2,12to24,12,24,3,2,0.010811439
2,12to24,12,24,3,3,0.013707728
2,12to24,12,24,3,4,0.013479287
2,12to24,12,24,4,0,0.246645168
2,12to24,12,24,4,1,0.007923918
2,12to24,12,24,4,2,0.074976184
2,12to24,12,24,4,3,0
2,12to24,12,24,4,4,0.027151799
2,2to4,2,4,0,0,0.550885186
2,2to4,2,4,0,1,0.121973918
2,2to4,2,4,0,2,0.015886805
2,2to4,2,4,0,3,0.009652173
2,2to4,2,4,0,4,0
2,2to4,2,4,1,0,0.173443092
2,2to4,2,4,1,1,0.020658393
2,2to4,2,4,1,2,0.004306382
2,2to4,2,4,1,3,0
2,2to4,2,4,1,4,0
2,2to4,2,4,2,0,0.046173596
2,2to4,2,4,2,1,0.038006774
2,2to4,2,4,2,2,0
2,2to4,2,4,2,3,0
2,2to4,2,4,2,4,0
2,2to4,2,4,3,0,0.006001013
2,2to4,2,4,3,1,0
2,2to4,2,4,3,2,0
2,2to4,2,4,3,3,0
2,2to4,2,4,3,4,0
2,2to4,2,4,4,0,0.011189417
2,2to4,2,4,4,1,0
2,2to4,2,4,4,2,0.001823251
2,2to4,2,4,4,3,0
2,2to4,2,4,4,4,0
2,4to8,4,8,0,0,0.237523715
2,4to8,4,8,0,1,0.151614931
2,4to8,4,8,0,2,0.044352271
2,4to8,4,8,0,3,0.010243918
2,4to8,4,8,0,4,0.023753116
2,4to8,4,8,1,0,0.167104423
2,4to8,4,8,1,1,0.088621817
2,4to8,4,8,1,2,0.011640815
2,4to8,4,8,1,3,0.005415443
2,4to8,4,8,1,4,0
2,4to8,4,8,2,0,0.12503662
2,4to8,4,8,2,1,0.030661458
2,4to8,4,8,2,2,0.021197816
2,4to8,4,8,2,3,0
2,4to8,4,8,2,4,0
2,4to8,4,8,3,0,0.045872142
2,4to8,4,8,3,1,0.008005904
2,4to8,4,8,3,2,0
2,4to8,4,8,3,3,0
2,4to8,4,8,3,4,0
2,4to8,4,8,4,0,0.024182431
2,4to8,4,8,4,1,0.00477318
2,4to8,4,8,4,2,0
2,4to8,4,8,4,3,0
2,4to8,4,8,4,4,0
2,8to12,8,12,0,0,0.092750221
2,8to12,8,12,0,1,0.099834406
2,8to12,8,12,0,2,0.052517802
2,8to12,8,12,0,3,0.0200783
2,8to12,8,12,0,4,0.013759241
2,8to12,8,12,1,0,0.07886002
2,8to12,8,12,1,1,0.032675185
2,8to12,8,12,1,2,0.058919884
2,8to12,8,12,1,3,0.001059832
2,8to12,8,12,1,4,0.004119584
2,8to12,8,12,2,0,0.082544151
2,8to12,8,12,2,1,0.061362376
2,8to12,8,12,2,2,0.020266591
2,8to12,8,12,2,3,0.010420038
2,8to12,8,12,2,4,0.028159081
2,8to12,8,12,3,0,0.133540262
2,8to12,8,12,3,1,0.053252466
2,8to12,8,12,3,2,0.003884326
2,8to12,8,12,3,3,0.007442885
2,8to12,8,12,3,4,0
2,8to12,8,12,4,0,0.104087106
2,8to12,8,12,4,1,0.021622209
2,8to12,8,12,4,2,0.018844032
2,8to12,8,12,4,3,0
2,8to12,8,12,4,4,0
3,0to2,0,2,0,0,0.792055737
3,0to2,0,2,0,1,0.028403367
3,0to2,0,2,0,2,0
3,0to2,0,2,0,3,0
3,0to2,0,2,0,4,0
3,0to2,0,2,1,0,0.127575158
3,0to2,0,2,1,1,0.030535611
3,0to2,0,2,1,2,0
3,0to2,0,2,1,3,0
3,0to2,0,2,1,4,0
3,0to2,0,2,2,0,0.021430126
3,0to2,0,2,2,1,0
3,0to2,0,2,2,2,0
3,0to2,0,2,2,3,0
3,0to2,0,2,2,4,0
3,0to2,0,2,3,0,0
3,0to2,0,2,3,1,0
3,0to2,0,2,3,2,0
3,0to2,0,2,3,3,0
3,0to2,0,2,3,4,0
3,0to2,0,2,4,0,0
3,0to2,0,2,4,1,0
3,0to2,0,2,4,2,0
3,0to2,0,2,4,3,0
3,0to2,0,2,4,4,0
3,12to24,12,24,0,0,0
3,12to24,12,24,0,1,0
3,12to24,12,24,0,2,0
3,12to24,12,24,0,3,0
3,12to24,12,24,0,4,0
3,12to24,12,24,1,0,0
3,12to24,12,24,1,1,0
3,12to24,12,24,1,2,0
3,12to24,12,24,1,3,0
3,12to24,12,24,1,4,0
3,12to24,12,24,2,0,0
3,12to24,12,24,2,1,0
3,12to24,12,24,2,2,0
3,12to24,12,24,2,3,0
3,12to24,12,24,2,4,0
3,12to24,12,24,3,0,0
3,12to24,12,24,3,1,0
3,12to24,12,24,3,2,0
3,12to24,12,24,3,3,0
3,12to24,12,24,3,4,0
3,12to24,12,24,4,0,0
