FacType,AreaType,Lookup,PctTruck,AutoCurve,TruckCurve
1,1,101,0.035,1,2
1,2,102,0.035,1,2
1,3,103,0.035,1,2
1,4,104,0.035,1,2
1,5,105,0.035,1,2
1,6,106,0.035,1,2
1,7,107,0.035,1,2
1,8,108,0.035,1,2
2,1,201,0.025,1,2
2,2,202,0.025,1,2
2,3,203,0.025,1,2
2,4,204,0.025,1,2
2,5,205,0.025,1,2
2,6,206,0.025,1,2
2,7,207,0.025,1,2
2,8,208,0.025,1,2
3,1,301,0.025,3,4
3,2,302,0.025,3,4
3,3,303,0.025,3,4
3,4,304,0.025,3,4
3,5,305,0.025,3,4
3,6,306,0.025,3,4
3,7,307,0.025,3,4
3,8,308,0.025,3,4
4,1,401,0.025,3,4
4,2,402,0.025,3,4
4,3,403,0.025,3,4
4,4,404,0.025,3,4
4,5,405,0.025,3,4
4,6,406,0.025,3,4
4,7,407,0.025,3,4
4,8,408,0.025,3,4
5,1,501,0.025,3,4
5,2,502,0.025,3,4
5,3,503,0.025,3,4
5,4,504,0.025,3,4
5,5,505,0.025,3,4
5,6,506,0.025,3,4
5,7,507,0.025,3,4
5,8,508,0.025,3,4
6,1,601,0.025,3,4
6,2,602,0.025,3,4
6,3,603,0.025,3,4
6,4,604,0.025,3,4
6,5,605,0.025,3,4
6,6,606,0.025,3,4
6,7,607,0.025,3,4
6,8,608,0.025,3,4
7,1,701,0.025,3,4
7,2,702,0.025,3,4
7,3,703,0.025,3,4
7,4,704,0.025,3,4
7,5,705,0.025,3,4
7,6,706,0.025,3,4
7,7,707,0.025,3,4
7,8,708,0.025,3,4
8,1,801,0.021,5,5
8,2,802,0.021,5,5
8,3,803,0.021,5,5
8,4,804,0.021,5,5
8,5,805,0.021,5,5
8,6,806,0.021,5,5
8,7,807,0.021,5,5
8,8,808,0.021,5,5
9,1,901,0.035,3,4
9,2,902,0.035,3,4
9,3,903,0.035,3,4
9,4,904,0.035,3,4
9,5,905,0.035,3,4
9,6,906,0.035,3,4
9,7,907,0.035,3,4
9,8,908,0.035,3,4
10,1,1001,0.035,3,4
10,2,1002,0.035,3,4
10,3,1003,0.035,3,4
10,4,1004,0.035,3,4
10,5,1005,0.035,3,4
10,6,1006,0.035,3,4
10,7,1007,0.035,3,4
10,8,1008,0.035,3,4
11,1,1101,0,3,4
11,2,1102,0,3,4
11,3,1103,0,3,4
11,4,1104,0,3,4
11,5,1105,0,3,4
11,6,1106,0,3,4
11,7,1107,0,3,4
11,8,1108,0,3,4
12,1,1201,0,5,5
12,2,1202,0,5,5
12,3,1203,0,5,5
12,4,1204,0,5,5
12,5,1205,0,5,5
12,6,1206,0,5,5
12,7,1207,0,5,5
12,8,1208,0,5,5
13,1,1301,0,1,2
13,2,1302,0,1,2
13,3,1303,0,1,2
13,4,1304,0,1,2
13,5,1305,0,1,2
13,6,1306,0,1,2
13,7,1307,0,1,2
13,8,1308,0,1,2
14,1,1401,0,5,5
14,2,1402,0,5,5
14,3,1403,0,5,5
14,4,1404,0,5,5
14,5,1405,0,5,5
14,6,1406,0,5,5
14,7,1407,0,5,5
14,8,1408,0,5,5
