Code_2000,ModelCode
1,1
2,1
3,1
4,1
5,1
6,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
20,1
21,1
22,1
23,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
40,1
41,1
42,1
43,1
50,1
51,1
52,1
53,1
54,1
56,1
60,1
62,1
70,1
71,1
72,1
73,1
73,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
90,1
91,1
93,1
94,1
95,1
100,1
100,1
100,1
101,1
102,1
104,1
106,1
110,1
111,1
120,1
121,1
122,1
123,1
124,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
160,1
161,1
164,1
165,1
170,1
171,1
172,1
174,1
176,1
180,1
181,1
182,1
183,1
184,1
186,1
190,1
191,1
192,1
193,1
194,1
196,1
196,1
200,2
201,2
202,2
204,2
205,2
206,2
210,2
211,2
214,2
215,2
220,2
230,2
231,2
232,2
233,2
234,2
240,2
243,2
244,2
254,2
255,2
255,2
255,2
255,2
260,1
263,1
270,1
271,1
272,1
274,1
275,1
276,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
290,1
291,1
292,1
296,1
300,2
301,2
303,2
304,2
305,2
306,2
311,2
312,2
313,2
314,2
315,2
316,2
320,2
321,2
322,2
323,2
324,2
325,2
326,2
330,2
331,2
332,2
340,2
341,2
350,2
351,2
352,2
353,2
354,2
360,2
361,2
362,2
363,2
364,2
365,2
365,2
365,2
365,2
365,2
365,2
370,3
371,3
372,3
373,3
374,3
375,3
380,3
382,3
383,3
384,3
385,3
386,3
390,3
391,3
392,3
394,3
395,3
395,3
400,3
401,3
402,3
403,3
404,3
405,3
406,3
411,3
412,3
413,3
414,3
415,3
416,3
420,3
421,3
422,3
422,3
423,3
424,3
425,3
430,2
432,2
434,2
435,2
440,2
441,2
442,2
443,2
446,2
450,2
451,2
452,2
453,2
454,2
455,2
460,2
461,2
462,2
464,2
465,2
470,4
471,4
472,4
474,4
475,4
476,4
480,4
481,4
482,4
483,4
484,4
485,4
490,4
492,4
493,4
494,4
495,4
496,4
500,4
501,4
502,4
503,4
510,4
511,4
512,4
513,4
514,4
515,4
516,4
520,4
521,4
522,4
523,4
524,4
525,4
526,4
530,4
531,4
532,4
533,4
534,4
535,4
536,4
540,4
541,4
542,4
550,4
551,4
552,4
553,4
554,4
555,4
556,4
560,4
561,4
562,4
563,4
570,4
580,4
581,4
582,4
583,4
584,4
585,4
586,4
590,4
591,4
592,4
593,4
600,5
601,5
602,5
604,5
605,5
610,5
611,5
612,5
613,5
620,5
621,5
622,5
623,5
624,5
625,5
626,5
630,5
631,5
632,5
633,5
635,5
636,5
640,5
642,5
643,5
644,5
646,5
650,5
651,5
652,5
653,5
660,5
666,5
670,5
671,5
672,5
673,5
674,5
675,5
676,5
680,5
682,5
683,5
684,5
691,5
692,5
693,5
694,5
694,5
700,5
701,5
702,5
703,5
704,5
705,5
710,5
710,5
711,5
712,5
713,5
714,5
715,5
716,5
720,5
721,5
722,5
724,5
726,5
730,5
731,5
732,5
733,5
733,5
734,5
735,5
736,5
741,5
742,5
743,5
751,5
752,5
754,5
755,5
756,5
760,5
761,5
762,5
762,5
770,6
771,6
772,6
773,6
774,6
775,6
780,6
781,6
783,6
784,6
785,6
790,6
792,6
793,6
794,6
795,6
796,6
800,6
801,6
802,6
803,6
804,6
806,6
810,6
812,6
813,6
814,6
815,6
816,6
820,6
821,6
822,6
823,6
824,6
825,6
826,6
830,6
831,6
832,6
833,6
834,6
835,6
836,6
840,6
841,6
842,6
843,6
844,6
845,6
846,6
850,6
851,6
852,6
853,6
854,6
855,6
860,6
861,6
862,6
863,6
864,6
865,6
871,6
872,6
873,6
874,6
875,6
876,6
880,6
881,6
883,6
884,6
885,6
886,6
890,6
891,6
892,6
893,6
894,6
895,6
896,6
900,6
903,6
904,6
911,6
912,6
913,6
914,6
915,6
920,6
923,6
924,6
926,6
926,6
930,6
931,6
933,6
934,6
935,6
936,6
941,6
942,6
942,6
950,6
951,6
952,6
956,6
960,6
961,6
962,6
963,6
964,6
965,6
972,6
973,6
974,6
975,6
980,7
981,7
982,7
983,7
