TAZ,Work_0,Work_1,Work_2,Work_3,Work_4,Work_5,Work_6,University,School,Escort,Maintenance,Discretionary,AtWork
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.01916,1.30484,1.19024,0.9889,1.02923,0.62109,-4.92172,2.18906,0,0,0,0,0
3,0.36454,0.81714,0.74664,0.54256,1.33902,1.01658,0.44173,2.41152,0,0,0,0,0
4,0.32996,1.68193,1.35825,-0.3621,0.8429,0.87121,-0.37354,0,0,0,0,0,0
5,0.96395,1.05662,1.58708,1.34303,0.20969,1.82326,0,-0.1527,0,0,0,0,0
6,0.72538,0.85005,1.09566,1.17502,0.02098,2.49492,0,3.00593,1.52589,0,0,0,0
7,0.21085,0.47532,1.09821,0.87858,0.75579,1.14351,0,3.52344,0,0,0,0,0
8,-0.9729,1.75808,0,1.57875,0.79397,0.12243,0,0,0,0,0,0,0
9,0.60377,0.15035,0.72466,0.74341,0.67986,1.77838,0.28465,2.32982,0.65091,0,0,0,0
10,0.31927,0.53765,2.34891,0.50055,1.82698,1.47469,0,0,0,0,0,0,0
11,0.55001,0.72296,0.96147,0.61301,1.05351,1.09273,-1.24361,2.16632,0,0,0,0,0
12,1.34053,1.49971,1.06154,0.86974,0.9036,0.95508,0,0,0,0,0,0,0
13,0.97607,0.56225,0.82979,0.46437,0.88596,0.86673,0.30385,2.75653,0,0,0,0,0
14,0.7137,0.8881,0.41533,1.27673,0.96887,-0.0938,0,1.91014,0,0,0,0,0
15,1.16005,0.51832,0.45383,0.78341,-0.0564,1.423,0,3.35604,1.90646,0,0,0,0
16,0.86798,0.97656,1.98383,1.2432,0.24159,2.32431,0.36328,2.57002,0,0,0,0,0
17,-0.7935,0,-2.70874,-0.07717,0,0,0,0,0,0,0,0,0
18,0.26879,0.37787,1.64908,0.03094,0,-0.20222,0,0,0,0,0,0,0
19,0.67089,1.77171,1.43913,0.84864,1.21985,1.47053,0,0,0,0,0,0,0
20,0.41871,0.80181,1.27372,0.724,0.55437,1.09992,8.51039,2.27483,0,0,0,0,0
21,0.50543,0.6959,0.8607,0.83333,0.9782,1.14611,2.56084,2.59685,0,0,0,0,0
22,0.40281,0.67207,0.75846,0.68303,0.85341,1.09906,7.3276,2.23201,0,0,0,0,0
23,-0.08023,0.93905,1.28205,0.96851,1.45622,-0.02455,0,1.6539,0,0,0,0,0
24,0.67119,0.74318,1.23614,0.8293,0.85615,1.56573,2.20371,3.00261,1.73119,0,0,0,0
25,0.59592,0.88809,1.18982,1.04978,1.02575,0.75027,7.9201,2.78216,0,0,0,0,0
26,0.62455,1.19626,-0.06961,0.1356,1.66277,1.21313,0,0,0,0,0,0,0
27,0.69132,0.59554,0.99452,0.70108,1.41541,1.09393,1.41598,2.55478,0,0,0,0,0
28,0.67203,0.74931,0.24779,0.81275,1.25263,0,0,2.4746,2.06838,0,0,0,0
