TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,MILI,GOVT,HOTEL,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18
2,1871,8,0,0,627,66,198,131,134,86,0,0,0,0,5,11,9,49,24,1,99,615,3,0.5,0,0,100,0,0,0,0,0,6,24,0,0,0,4,18
3,697,0,0,0,272,31,114,58,41,17,0,0,0,0,2,4,2,213,1,0,222,261,3,0.5,0,0,100,0,0,0,0,0,0,1,0,0,0,0,18
4,1226,0,0,0,406,32,142,82,90,53,0,0,0,0,4,3,6,30,17,38,98,399,3,0.5,0,0,100,0,0,0,0,0,0,17,0,0,0,0,18
5,876,7,0,0,278,20,75,63,63,45,0,3,0,0,0,7,6,53,0,26,95,266,3,0.5,0,0,100,0,0,0,0,0,5,0,0,0,0,3,18
6,1846,3,0,0,601,42,196,145,136,73,0,7,0,0,1,10,14,88,3,0,123,592,3,0.5,0,0,100,0,0,0,370,1,2,3,0,0,0,4,18
7,2352,0,0,0,755,86,240,135,129,138,0,8,0,0,2,8,16,58,0,34,126,728,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18
8,455,6,0,0,177,30,56,38,33,11,0,0,0,0,0,2,3,10,0,24,39,168,3,0.5,0,0,100,0,0,0,0,0,4,0,0,0,0,3,18
9,970,31,0,0,310,32,108,70,46,49,0,1,0,4,0,28,7,74,19,0,133,305,3,0.5,0,0,100,0,0,0,2969,0,21,19,0,0,0,4,18
10,948,0,0,0,321,38,117,58,63,42,0,1,0,6,1,1,7,14,3,0,33,318,3,0.5,0,0,100,0,0,0,0,1,0,3,0,0,0,0,18
11,2352,0,0,0,1054,220,394,175,137,51,0,0,0,0,34,5,188,536,0,157,920,977,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18
12,194,0,0,0,70,8,29,20,5,8,0,8,0,20,0,2,3,3,232,0,268,70,3,0.5,0,0,100,0,0,0,0,0,0,232,0,0,0,0,18
13,1091,0,0,0,350,43,112,66,65,61,0,5,0,0,19,1,3,49,0,0,77,347,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18
14,873,0,0,0,383,46,154,48,41,35,0,1,0,0,15,5,29,36,1,1,88,324,3,0.5,0,0,100,0,0,0,0,0,0,1,0,0,0,0,18
15,726,0,0,0,242,27,77,32,48,47,0,0,0,0,4,12,6,31,0,0,53,231,3,0.5,0,0,100,0,0,0,308,1,0,0,0,0,0,0,18
16,1192,0,0,0,407,45,131,86,92,47,0,0,0,0,0,0,2,52,0,9,63,401,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18
17,333,0,0,0,107,7,33,28,25,14,0,0,0,0,1,0,0,4,0,0,5,107,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18
