TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,HOTEL,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD,SHRWRKPKGPROVIDED,MILI,GOVT,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297,0,0,0,0,0,0,0,0,0
2,1871,8,0,0,627,66,198,131,134,86,0,42.42368025000399,615,3,0.5,0,0,100,0,0,0,0,0,6,24,0,0,0,4,18,0.797297297,0,0,0,0,0,0,42.42368025000399,0,0
3,697,0,0,0,272,31,114,58,41,17,0,155.45538933276796,261,3,0.5,0,0,100,0,0,0,0,0,0,1,0,0,0,0,18,0.797297297,0,0,0,11.053339067889102,0,33.78135812015848,6.787788840000639,25.5722319068238,78.26067139789595
4,1226,0,0,0,406,32,142,82,90,53,0,13.950251214891692,399,3,0.5,0,0,100,0,0,0,0,0,0,17,0,0,0,0,18,0.797297297,0,0,0,0,13.950251214891692,0,0,0,0
5,876,7,0,0,278,20,75,63,63,45,0,213.89593252191736,266,3,0.5,0,0,100,0,0,0,0,0,5,0,0,0,0,3,18,0.797297297,0,0,0,0,0,0,173.33693674856076,30.776411848619595,9.782583924736993
6,1846,3,0,0,601,42,196,145,136,73,0,65.60406729703247,592,3,0.5,0,0,100,0,0,0,370,1,2,3,0,0,0,4,18,0.797297297,0,8.400544495490887,0,16.580008601833654,13.950251214891692,16.89067906007924,0,0,9.782583924736993
7,2352,0,0,0,755,86,240,135,129,138,0,84.92673516987941,728,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,0.797297297,0,0,0,0,0,0,75.14415124514241,0,9.782583924736993
8,455,6,0,0,177,30,56,38,33,11,0,33.93894420000319,168,3,0.5,0,0,100,0,0,0,0,0,4,0,0,0,0,3,18,0.797297297,0,0,0,0,0,0,33.93894420000319,0,0
9,970,31,0,0,310,32,108,70,46,49,0,299.5793120992724,305,3,0.5,0,0,100,0,0,0,2969,0,21,19,0,0,0,4,18,0.797297297,0,21.00136123872722,0,0,0,0,253.71904577466745,24.85890508587771,0
10,948,0,0,0,321,38,117,58,63,42,0,46.33671381989879,318,3,0.5,0,0,100,0,0,0,0,1,0,3,0,0,0,0,18,0.797297297,0,0,0,0,0,0,42.42368025000399,0,3.913033569894797
