"TAZ","POP","GQ","HR","RC","HU","HH1","HH2","HH3","HH4","HH5","MILI","GOVT","HOTEL","AG","TCU","INDUS","FIRE","SERV","RETAIL","CSTR","TOTALEMP","TOTALHH","TERMTYPE","TERMTIME","WORK_DAILY","NONWRK_HRLY","PERCWLK","PRV_UNIV_ENROLL","PUB_UNIV_ENROLL","PRV_K12_ENROLL","PUB_K12_ENROLL","SCHOOLS","GQWRK","NONVISRET","VISPRCAUTO","VISPRCTOUR","MILI_BASE","GQTYPE","TD","SHRWRKPKGPROVIDED"
1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,100,0,0,0,233,0,20,35,0,0,0,0,18,1
2,1880,8,0,0,650,76,202,140,125,96,0,0,0,0,5,10,9,50,23,1,98,639,3,1,0,0,100,0,0,0,110,0,7,28,0,0,0,4,18,1
3,672,0,104,4,273,27,123,63,35,14,0,0,0,0,1,6,0,167,1,0,174,262,3,1,0,0,100,1228,0,0,538,1,154,227,0,0,0,0,18,1
4,1187,0,447,16,408,41,136,77,87,59,0,0,0,0,2,3,5,14,10,26,60,400,3,1,0,0,100,0,0,0,1491,1,37,194,0,0,0,0,18,1
5,893,7,0,0,302,24,83,75,67,42,0,5,0,0,0,10,8,100,0,43,167,291,3,1,0,0,100,0,0,0,0,0,2,1,0,0,0,3,18,1
6,1802,3,8,6,602,35,194,147,152,66,0,5,0,0,2,10,8,67,2,0,95,594,3,1,0,0,100,0,0,0,250,1,0,15,0,0,0,4,18,1
7,2202,0,0,0,756,76,259,133,126,141,0,8,0,0,1,3,20,51,0,35,118,735,3,1,0,0,100,0,0,0,0,0,5,32,0,0,0,0,18,1
8,439,6,1,0,179,36,52,42,27,13,0,1,0,0,1,2,1,5,1,14,25,170,3,1,0,0,100,0,0,0,0,0,0,4,0,0,0,3,18,1
9,956,31,17,22,311,18,107,68,50,64,0,4,0,9,2,65,2,160,43,0,286,307,3,1,0,0,100,0,0,0,2014,0,0,21,0,0,0,4,18,1
10,877,0,0,0,322,38,130,59,53,38,0,8,0,23,0,0,12,74,12,0,129,318,3,1,0,0,100,0,0,35,0,2,2,15,0,0,0,0,18,1
11,1553,0,0,0,1,132,277,133,82,28,0,0,0,0,1,0,3,9,0,3,15,652,3,1,0,0,100,0,0,0,0,0,0,4,0,0,0,0,18,1
12,189,0,0,0,72,10,27,21,3,10,0,0,0,0,0,0,0,0,0,0,0,71,3,1,0,0,100,0,0,0,498,0,0,273,0,0,0,0,18,1
13,1031,0,0,0,351,43,107,70,66,60,0,6,0,0,22,8,10,65,0,0,111,346,3,1,0,0,100,0,0,0,467,0,0,149,0,0,0,0,18,1
14,907,0,0,0,384,46,146,57,52,38,0,1,0,0,16,4,29,36,1,1,88,339,3,1,0,0,100,0,0,0,0,0,2,1,0,0,0,0,18,1
15,748,0,0,0,247,23,66,49,54,46,0,0,0,0,21,30,9,106,0,0,167,238,3,1,0,0,100,0,0,0,209,1,4,135,0,0,0,0,18,1
16,1287,0,0,4,442,47,129,105,103,51,0,0,0,0,0,0,1,29,0,5,35,435,3,1,0,0,100,0,0,0,0,0,42,6,0,0,0,0,18,1
17,334,0,0,0,107,8,24,32,33,10,0,0,0,0,0,0,0,0,0,0,0,107,3,1,0,0,100,0,0,0,0,0,0,30,0,0,0,0,18,1
18,861,0,0,10,300,18,109,75,50,40,0,0,0,0,2,3,5,20,0,1,30,292,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,1
19,419,0,0,0,171,17,70,39,20,13,0,0,0,0,0,11,11,17,0,0,38,159,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,1
20,3,0,0,3,2,1,1,0,0,0,0,12,0,0,22,27,7,393,0,101,562,2,3,1,0,0,100,0,0,0,455,0,33,40,0,0,0,0,18,1
21,1128,0,0,0,511,89,211,76,66,25,0,42,0,0,5,28,35,312,115,0,537,467,3,1,0,0,100,0,0,0,0,0,0,147,0,0,0,0,18,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,100,0,0,0,0,0,0,288,0,0,0,0,18,1
23,1350,0,0,0,538,73,219,101,79,44,0,0,0,0,2,5,12,173,0,0,191,516,3,1,0,0,100,0,0,0,0,0,2,27,0,0,0,0,18,1
24,1061,0,0,0,344,29,96,70,75,66,0,49,0,12,19,6,22,327,25,1,460,336,3,1,0,0,100,0,0,0,322,1,0,20,0,0,0,0,18,1
25,1777,1,0,0,899,262,260,115,95,54,0,0,0,0,0,5,3,109,0,36,153,786,3,1,0,0,100,0,0,0,0,0,1,16,0,0,0,3,18,1
26,709,0,0,0,311,61,124,60,35,16,0,0,0,0,8,8,12,43,0,0,71,296,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,18,1
27,991,45,0,0,325,42,79,51,52,86,0,1,0,0,1,4,13,192,0,0,212,310,3,1,0,0,100,0,0,0,195,0,25,6,0,0,0,4,18,1
28,475,5,0,0,199,38,51,39,27,22,0,6,0,0,0,0,45,71,0,0,122,177,3,1,0,0,100,0,0,111,0,1,3,42,0,0,0,3,18,1
29,2294,4,0,0,836,149,229,167,144,122,0,3,0,0,5,9,12,108,0,3,139,811,3,1,0,0,100,0,0,0,0,0,5,0,0,0,0,3,18,1
30,711,0,0,0,241,23,84,45,45,41,0,0,0,0,14,0,42,84,0,0,140,238,3,1,0,0,100,0,0,0,0,1,0,0,0,0,0,0,18,1
31,1240,13,0,0,421,56,101,80,93,74,0,12,0,0,1,12,24,284,66,0,399,404,3,1,0,0,100,0,0,141,0,1,9,66,0,0,0,3,18,1
32,1980,0,0,0,769,76,273,153,131,75,10,0,0,0,0,3,7,59,0,6,76,708,3,1,0,0,100,0,0,142,0,1,19,50,0,0,0,0,18,1
33,167,15,0,0,62,6,14,8,11,13,0,21,0,0,0,6,6,24,0,0,57,52,3,1,0,0,100,0,0,0,621,1,0,80,0,0,0,3,18,1
34,524,0,0,0,191,31,65,23,36,30,0,0,0,0,0,8,0,7,0,0,15,185,3,1,0,0,100,0,0,0,0,0,1,36,0,0,0,0,18,1
35,1116,0,0,0,428,87,147,45,80,56,0,1,0,0,2,4,9,59,0,0,76,415,3,1,0,0,100,0,0,0,858,1,6,3,0,0,0,0,18,1
36,1236,0,0,0,457,75,133,98,74,61,0,0,0,0,1,2,5,52,0,2,62,441,3,1,0,0,100,0,0,0,965,0,6,25,0,0,0,0,18,1
