TAZ,gqpop2010,military_jobs,ag,cstr,fire,govt,hh1,hh2,hh3,hh4,hh5,hotel,hr,hu,indus,pop,rc,retail,service,tcu,totalemp,totalhh
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0,0,3,9,0,44,190,132,134,102,0,0,632,9,1919,0,23,48,5,97,602
3,0,0,0,0,0,0,29,115,50,42,33,0,0,284,7,778,0,1,184,1,193,269
4,0,0,0,36,7,3,28,136,91,72,73,0,0,419,3,1287,0,15,25,4,93,400
5,7,0,0,23,4,3,16,83,58,59,65,0,0,293,6,990,0,0,47,0,83,281
6,3,0,0,0,10,6,34,176,132,132,95,0,0,601,11,1870,0,3,78,2,110,569
7,0,0,0,30,17,8,77,250,133,123,154,0,0,755,3,2419,0,0,45,1,104,737
8,6,0,0,21,2,25,25,74,37,22,18,0,0,182,5,479,0,4,16,4,77,176
9,31,0,1,0,1,13,31,100,57,40,55,0,0,310,30,917,0,21,112,1,179,283
10,0,0,5,0,2,5,29,113,58,57,52,0,0,330,0,969,0,3,26,0,41,309
11,0,0,0,134,164,0,212,391,176,138,73,0,0,1182,8,2479,0,0,483,31,820,990
12,0,0,17,7,4,32,9,27,16,5,8,0,0,72,7,180,0,223,117,1,408,65
13,0,0,0,0,7,8,45,122,68,60,62,0,0,372,5,1129,0,0,45,14,79,357
14,0,0,0,1,24,1,51,139,60,58,46,0,0,383,5,1034,0,0,33,14,78,354
15,0,0,0,0,2,1,18,84,37,39,52,0,0,245,10,755,0,1,36,7,57,230
16,0,0,0,9,2,0,53,139,70,69,47,0,0,411,0,1124,0,0,41,0,52,378
17,0,0,0,0,1,0,10,26,32,23,14,0,0,107,1,337,0,0,3,2,7,105
18,0,0,0,1,3,0,21,118,55,54,50,0,0,311,2,928,0,0,20,2,28,298
19,0,0,0,0,11,0,12,62,36,21,30,0,0,171,15,513,0,0,19,0,45,161
20,0,0,0,85,5,9,569,859,425,314,263,0,0,2666,24,6290,0,0,344,21,488,2430
21,0,0,0,2,30,51,88,174,78,66,39,0,0,530,28,1166,0,113,351,5,580,445
22,0,0,2,5,141,184,0,0,0,0,0,0,0,0,26,0,0,222,578,19,1177,0
23,0,0,0,0,4,0,65,195,101,63,65,0,0,547,1,1433,0,0,65,1,71,489
