TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,MILI,GOVT,HOTEL,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD,SHRWRKPKGPROVIDED,occ_rate
1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,100,0,0,0,0,1,60,106,0,0,0,0,18,0.797297,NaN
2,2015,8,0,0,666,73,190,155,130,108,0,0,0,0,11,24,20,119,54,2,230,656,3,1,0,0,100,0,0,0,0,1,0,0,0,0,0,4,18,0.797297,0.985652798
3,665,0,0,14,264,34,106,64,29,21,0,0,0,0,0,2,0,61,0,0,63,254,3,1,0,0,100,0,0,0,0,4,463,679,0,0,0,0,18,0.797297,0.96350365
4,1163,0,0,63,386,29,141,66,89,53,0,0,0,0,6,8,13,39,30,72,168,378,3,1,0,0,100,0,0,0,0,4,111,523,0,0,0,0,18,0.797297,0.97810219
5,1099,7,0,0,339,24,82,85,91,47,0,2,0,0,0,4,4,47,0,21,78,329,3,1,0,0,100,0,0,0,0,0,0,2,0,0,0,3,18,0.797297,0.971509972
6,1755,3,0,22,578,28,198,140,144,61,0,10,0,0,4,18,13,119,4,0,168,571,3,1,0,0,100,0,0,0,865,0,0,35,0,0,0,4,18,0.797297,0.988410596
7,2418,0,0,0,744,86,267,139,79,162,0,14,0,0,2,6,35,87,0,60,204,733,3,1,0,0,100,0,0,0,0,0,15,97,0,0,0,0,18,0.797297,0.985507246
8,509,6,0,2,176,32,43,41,28,23,0,0,0,0,0,1,0,1,0,3,5,167,3,1,0,0,100,0,0,0,0,0,0,13,0,0,0,3,18,0.797297,0.950549451
9,1032,31,0,88,319,47,105,82,4,80,0,3,0,5,2,55,2,136,36,0,239,318,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,4,18,0.797297,0.996794872
10,920,0,0,0,317,42,114,64,49,44,0,20,0,36,0,0,30,188,30,0,304,313,3,1,0,0,100,0,0,0,1656,4,5,38,0,0,0,0,18,0.797297,0.987616099
11,2521,0,0,0,1030,232,368,180,85,121,0,0,0,0,2,0,10,28,0,8,48,986,3,1,0,0,100,0,0,0,0,0,0,13,0,0,0,0,18,0.797297,0.957507082
12,181,0,0,0,82,19,28,24,6,2,0,72,0,67,6,0,6,127,1273,11,1562,79,3,1,0,0,100,0,0,0,0,1,0,0,0,0,0,0,18,0.797297,0.96
13,1445,0,0,0,440,52,129,94,87,69,0,18,0,0,61,21,29,183,0,0,312,431,3,1,0,0,100,0,0,0,0,1,0,448,0,0,0,0,18,0.797297,0.980113636
